Date,Adj_Close
2016-01-04,7.75
2016-01-05,7.65
2016-01-06,7.94
2016-01-07,8.75
2016-01-08,8.42
2016-01-11,8.15
2016-01-12,7.9
2016-01-13,8.04
2016-01-14,7.58
2016-01-15,7.9
2016-01-19,7.59
2016-01-20,8.11
2016-01-21,8.33
2016-01-22,8.58
2016-01-25,9.27
2016-01-26,9.53
2016-01-27,9.84
2016-01-28,9.66
2016-01-29,9.91
2016-02-01,10.07
2016-02-02,9.86
2016-02-03,10.73
2016-02-04,11.18
2016-02-05,11.64
2016-02-08,11.91
2016-02-09,11.22
2016-02-10,11.58
2016-02-11,11.97
2016-02-12,12.25
2016-02-16,11.59
2016-02-17,11.89
2016-02-18,12.63
2016-02-19,12.56
2016-02-22,12.82
2016-02-23,13.54
2016-02-24,13.48
2016-02-25,13.58
2016-02-26,13.53
2016-02-29,13.89
2016-03-01,13.27
2016-03-02,13.58
2016-03-03,13.91
2016-03-04,13.72
2016-03-07,13.86
2016-03-08,13.33
2016-03-09,13.69
2016-03-10,14.17
2016-03-11,13.95
2016-03-14,13.67
2016-03-15,14.19
2016-03-16,15.18
2016-03-17,14.78
2016-03-18,14.74
2016-03-21,14.69
2016-03-22,14.5
2016-03-23,13.27
2016-03-24,13.56
2016-03-28,13.61
2016-03-29,14.05
2016-03-30,13.74
2016-03-31,13.58
2016-04-01,13.65
2016-04-04,13.5
2016-04-05,14.01
2016-04-06,13.97
2016-04-07,14.52
2016-04-08,15.18
2016-04-11,16.31
2016-04-12,16.35
2016-04-13,16.05
2016-04-14,15.42
2016-04-15,15.64
2016-04-18,15.82
2016-04-19,16.32
2016-04-20,15.89
2016-04-21,16.34
2016-04-22,16.12
2016-04-25,16.11
2016-04-26,16.48
2016-04-27,16.61
2016-04-28,17.55
2016-04-29,19.37
2016-05-02,19.11
2016-05-03,18.38
2016-05-04,17.46
2016-05-05,17.87
2016-05-06,18.47
2016-05-09,17.39
2016-05-10,17.93
2016-05-11,18.44
2016-05-12,18.12
2016-05-13,18.41
2016-05-16,18.91
2016-05-17,19.37
2016-05-18,17.62
2016-05-19,18.15
2016-05-20,18.2
2016-05-23,17.91
2016-05-24,16.91
2016-05-25,17.28
2016-05-26,17.13
2016-05-27,16.62
2016-05-31,16.77
2016-06-01,16.9
2016-06-02,16.96
2016-06-03,19.18
2016-06-06,18.92
2016-06-07,18.82
2016-06-08,19.22
2016-06-09,19.58
2016-06-10,19.61
2016-06-13,20.22
2016-06-14,19.79
2016-06-15,20.5
2016-06-16,20.06
2016-06-17,20.11
2016-06-20,19.76
2016-06-21,19.16
2016-06-22,19.65
2016-06-23,19.35
2016-06-24,20.47
2016-06-27,21.11
2016-06-28,20.63
2016-06-29,20.77
2016-06-30,21.35
2016-07-01,22.21
2016-07-05,22.4
2016-07-06,23.16
2016-07-07,22.35
2016-07-08,22.32
2016-07-11,22.04
2016-07-12,20.62
2016-07-13,21.08
2016-07-14,21.47
2016-07-15,21.4
2016-07-18,21.61
2016-07-19,21.57
2016-07-20,19.91
2016-07-21,20.41
2016-07-22,20.55
2016-07-25,19.83
2016-07-26,20.45
2016-07-27,21.35
2016-07-28,21.27
2016-07-29,21.86
2016-08-01,22.23
2016-08-02,22.69
2016-08-03,22.42
2016-08-04,22.37
2016-08-05,21.24
2016-08-08,21.42
2016-08-09,21.49
2016-08-10,21.77
2016-08-11,21.74
2016-08-12,21.75
2016-08-15,21.51
2016-08-16,21.32
2016-08-17,20.87
2016-08-18,21.04
2016-08-19,20.61
2016-08-22,20.39
2016-08-23,20.09
2016-08-24,18.17
2016-08-25,18.28
2016-08-26,18.22
2016-08-29,18.39
2016-08-30,17.42
2016-08-31,17.01
2016-09-01,17.8
2016-09-02,18.16
2016-09-06,19.04
2016-09-07,18.91
2016-09-08,18.43
2016-09-09,17.53
2016-09-12,17.77
2016-09-13,17.29
2016-09-14,17.19
2016-09-15,17.65
2016-09-16,17.34
2016-09-19,17.19
2016-09-20,17.2
2016-09-21,18.69
2016-09-22,18.53
2016-09-23,18.11
2016-09-26,17.92
2016-09-27,17.6
2016-09-28,18.02
2016-09-29,17.94
2016-09-30,17.72
2016-10-03,17.39
2016-10-04,15.45
2016-10-05,15.98
2016-10-06,15.64
2016-10-07,15.73
2016-10-10,15.58
2016-10-11,15.52
2016-10-12,15.83
2016-10-13,16.0
2016-10-14,15.69
2016-10-17,15.9
2016-10-18,16.37
2016-10-19,17.29
2016-10-20,17.04
2016-10-21,16.92
2016-10-24,16.53
2016-10-25,16.89
2016-10-26,16.65
2016-10-27,16.85
2016-10-28,17.08
2016-10-31,17.59
2016-11-01,18.41
2016-11-02,18.14
2016-11-03,18.33
2016-11-04,18.27
2016-11-07,17.35
2016-11-08,17.15
2016-11-09,17.25
2016-11-10,15.77
2016-11-11,14.84
2016-11-14,14.64
2016-11-15,15.58
2016-11-16,15.6
2016-11-17,15.36
2016-11-18,15.29
2016-11-21,15.39
2016-11-22,15.35
2016-11-23,14.63
2016-11-25,14.76
2016-11-28,15.4
2016-11-29,15.44
2016-11-30,15.02
2016-12-01,15.02
2016-12-02,15.66
2016-12-05,15.71
2016-12-06,15.49
2016-12-07,15.79
2016-12-08,15.92
2016-12-09,15.45
2016-12-12,15.31
2016-12-13,15.74
2016-12-14,14.73
2016-12-15,14.0
2016-12-16,14.28
2016-12-19,14.24
2016-12-20,14.34
2016-12-21,14.16
2016-12-22,14.12
2016-12-23,14.55
2016-12-27,14.86
2016-12-28,15.28
2016-12-29,16.39
2016-12-30,15.98
2017-01-03,16.39
2017-01-04,16.4
2017-01-05,17.37
2017-01-06,16.93
2017-01-09,16.97
2017-01-10,16.8
2017-01-11,16.68
2017-01-12,16.89
2017-01-13,16.87
2017-01-17,17.24
2017-01-18,16.82
2017-01-19,16.92
2017-01-20,17.11
2017-01-23,17.82
2017-01-24,18.13
2017-01-25,18.06
2017-01-26,17.87
2017-01-27,17.79
2017-01-30,18.01
2017-01-31,18.44
2017-02-01,18.48
2017-02-02,18.94
2017-02-03,18.93
2017-02-06,19.42
2017-02-07,19.33
2017-02-08,19.59
