Date,Adj_Close
2016-01-04,55.55
2016-01-05,54.7
2016-01-06,52.31
2016-01-07,49.95
2016-01-08,49.01
2016-01-11,48.04
2016-01-12,48.95
2016-01-13,47.71
2016-01-14,48.9
2016-01-15,47.91
2016-01-19,48.42
2016-01-20,48.01
2016-01-21,49.43
2016-01-22,51.29
2016-01-25,49.98
2016-01-26,51.88
2016-01-27,50.93
2016-01-28,51.76
2016-01-29,52.64
2016-02-01,52.82
2016-02-02,51.86
2016-02-03,53.52
2016-02-04,51.95
2016-02-05,51.54
2016-02-08,48.79
2016-02-09,49.89
2016-02-10,50.09
2016-02-11,50.09
2016-02-12,51.38
2016-02-16,52.32
2016-02-17,52.77
2016-02-18,54.53
2016-02-19,54.48
2016-02-22,54.83
2016-02-23,52.66
2016-02-24,53.31
2016-02-25,55.44
2016-02-26,56.56
2016-02-29,56.22
2016-03-01,58.66
2016-03-02,57.71
2016-03-03,57.22
2016-03-04,59.17
2016-03-07,58.8
2016-03-08,58.48
2016-03-09,60.24
2016-03-10,59.38
2016-03-11,61.24
2016-03-14,60.02
2016-03-15,59.19
2016-03-16,61.62
2016-03-17,62.43
2016-03-18,61.38
2016-03-21,61.64
2016-03-22,62.16
2016-03-23,61.39
2016-03-24,61.92
2016-03-28,62.12
2016-03-29,62.96
2016-03-30,63.99
2016-03-31,63.93
2016-04-01,65.2
2016-04-04,65.33
2016-04-05,64.5
2016-04-06,66.03
2016-04-07,64.69
2016-04-08,64.85
2016-04-11,65.25
2016-04-12,65.3
2016-04-13,65.0
2016-04-14,65.45
2016-04-15,65.37
2016-04-18,65.49
2016-04-19,65.34
2016-04-20,65.65
2016-04-21,65.64
2016-04-22,66.24
2016-04-25,66.59
2016-04-26,67.76
2016-04-27,67.86
2016-04-28,66.42
2016-04-29,66.16
2016-05-02,67.9
2016-05-03,67.33
2016-05-04,66.59
2016-05-05,67.1
2016-05-06,68.63
2016-05-09,67.28
2016-05-10,67.86
2016-05-11,74.65
2016-05-12,75.87
2016-05-13,76.16
2016-05-16,77.81
2016-05-17,76.17
2016-05-18,76.17
2016-05-19,75.77
2016-05-20,76.36
2016-05-23,76.37
2016-05-24,76.34
2016-05-25,78.87
2016-05-26,79.04
2016-05-27,80.09
2016-05-31,78.5
2016-06-01,79.68
2016-06-02,79.84
2016-06-03,80.0
2016-06-06,80.96
2016-06-07,81.29
2016-06-08,81.21
2016-06-09,80.26
2016-06-10,79.83
2016-06-13,78.15
2016-06-14,78.4
2016-06-15,79.71
2016-06-16,79.99
2016-06-17,82.8
2016-06-20,83.01
2016-06-21,83.62
2016-06-22,83.32
2016-06-23,84.4
2016-06-24,78.98
2016-06-27,75.34
2016-06-28,78.29
2016-06-29,79.12
2016-06-30,79.31
2016-07-01,81.32
2016-07-05,79.9
2016-07-06,80.86
2016-07-07,81.32
2016-07-08,83.58
2016-07-11,83.63
2016-07-12,85.22
2016-07-13,85.55
2016-07-14,86.04
2016-07-15,86.35
2016-07-18,86.21
2016-07-19,85.92
2016-07-20,86.62
2016-07-21,84.27
2016-07-22,85.01
2016-07-25,86.2
2016-07-26,85.52
2016-07-27,84.82
2016-07-28,85.11
2016-07-29,84.17
2016-08-01,83.91
2016-08-02,84.37
2016-08-03,83.99
2016-08-04,82.12
2016-08-05,82.33
2016-08-08,82.17
2016-08-09,82.01
2016-08-10,82.09
2016-08-11,82.58
2016-08-12,83.01
2016-08-15,84.08
2016-08-16,81.73
2016-08-17,80.55
2016-08-18,81.28
2016-08-19,82.74
2016-08-22,83.85
2016-08-23,84.17
2016-08-24,82.19
2016-08-25,82.57
2016-08-26,81.79
2016-08-29,82.75
2016-08-30,81.73
2016-08-31,79.97
2016-09-01,81.3
2016-09-02,81.96
2016-09-06,83.04
2016-09-07,82.95
2016-09-08,80.92
2016-09-09,76.82
2016-09-12,77.44
2016-09-13,76.09
2016-09-14,75.72
2016-09-15,77.25
2016-09-16,76.73
2016-09-19,77.64
2016-09-20,76.79
2016-09-21,80.19
2016-09-22,81.2
2016-09-23,80.75
2016-09-26,81.7
2016-09-27,82.75
2016-09-28,84.87
2016-09-29,83.15
2016-09-30,85.49
2016-10-03,84.83
2016-10-04,82.62
2016-10-05,83.44
2016-10-06,83.64
2016-10-07,82.37
2016-10-10,83.48
2016-10-11,81.72
2016-10-12,81.15
2016-10-13,80.44
2016-10-14,80.86
2016-10-17,81.26
2016-10-18,81.66
2016-10-19,82.59
2016-10-20,83.02
2016-10-21,82.2
2016-10-24,83.36
2016-10-25,82.1
2016-10-26,81.09
2016-10-27,82.05
2016-10-28,82.91
2016-10-31,83.55
2016-11-01,82.9
2016-11-02,82.25
2016-11-03,83.8
2016-11-04,83.48
2016-11-07,86.28
2016-11-08,82.75
2016-11-09,80.42
2016-11-10,81.52
2016-11-11,80.43
2016-11-14,77.08
2016-11-15,80.12
2016-11-16,81.55
2016-11-17,82.97
2016-11-18,82.46
2016-11-21,83.85
2016-11-22,84.3
2016-11-23,83.88
2016-11-25,84.0
2016-11-28,83.96
2016-11-29,85.95
2016-11-30,87.78
2016-12-01,85.65
2016-12-02,84.86
2016-12-05,86.28
2016-12-06,86.32
2016-12-07,88.8
2016-12-08,91.8
2016-12-09,90.69
2016-12-12,91.32
2016-12-13,91.12
2016-12-14,89.94
2016-12-15,89.82
2016-12-16,89.23
2016-12-19,89.0
2016-12-20,89.34
2016-12-21,89.28
2016-12-22,88.42
2016-12-23,88.82
2016-12-27,89.01
2016-12-28,86.58
2016-12-29,87.07
2016-12-30,86.08
2017-01-03,88.05
2017-01-04,90.7
2017-01-05,90.39
2017-01-06,90.81
2017-01-09,90.48
2017-01-10,89.88
2017-01-11,93.3
2017-01-12,93.75
2017-01-13,94.0
2017-01-17,94.35
2017-01-18,92.6
2017-01-19,93.05
2017-01-20,93.36
2017-01-23,93.7
2017-01-24,95.55
2017-01-25,94.0
2017-01-26,95.48
2017-01-27,95.42
2017-01-30,94.57
2017-01-31,92.64
2017-02-01,93.41
2017-02-02,92.91
2017-02-03,94.27
2017-02-06,94.29
2017-02-07,92.8
2017-02-08,94.35
2017-02-09,93.91
2017-02-10,93.7
2017-02-13,94.75
2017-02-14,91.19
2017-02-15,92.76
2017-02-16,92.41
2017-02-17,91.92
2017-02-21,93.78
2017-02-22,92.44
2017-02-23,92.41
2017-02-24,92.93
2017-02-27,92.46
2017-02-28,101.51
2017-03-01,102.66
2017-03-02,103.06
