Date,Adj_Close
2016-01-04,53.14
2016-01-05,52.42
2016-01-06,50.73
2016-01-07,48.78
2016-01-08,48.05
2016-01-11,48.26
2016-01-12,48.32
2016-01-13,47.3
2016-01-14,48.19
2016-01-15,47.17
2016-01-19,46.66
2016-01-20,46.68
2016-01-21,47.15
2016-01-22,49.13
2016-01-25,48.66
2016-01-26,49.86
2016-01-27,49.18
2016-01-28,49.31
2016-01-29,51.6
2016-02-01,52.5
2016-02-02,50.69
2016-02-03,51.11
2016-02-04,55.4
2016-02-05,54.75
2016-02-08,54.42
2016-02-09,52.91
2016-02-10,54.33
2016-02-11,51.96
2016-02-12,53.73
2016-02-16,55.69
2016-02-17,56.13
2016-02-18,57.19
2016-02-19,56.96
2016-02-22,57.1
2016-02-23,56.43
2016-02-24,57.23
2016-02-25,57.68
2016-02-26,57.95
2016-02-29,57.16
2016-03-01,59.0
2016-03-02,59.07
2016-03-03,59.34
2016-03-04,59.9
2016-03-07,60.67
2016-03-08,59.4
2016-03-09,60.35
2016-03-10,59.52
2016-03-11,60.9
2016-03-14,61.03
2016-03-15,61.25
2016-03-16,61.69
2016-03-17,61.83
2016-03-18,63.16
2016-03-21,63.03
2016-03-22,63.27
2016-03-23,62.49
2016-03-24,62.74
2016-03-28,62.52
2016-03-29,63.89
2016-03-30,63.76
2016-03-31,64.41
2016-04-01,65.32
2016-04-04,63.78
2016-04-05,63.62
2016-04-06,64.14
2016-04-07,62.66
2016-04-08,63.26
2016-04-11,63.21
2016-04-12,63.54
2016-04-13,64.64
2016-04-14,64.14
2016-04-15,64.22
2016-04-18,64.5
2016-04-19,64.71
2016-04-20,64.6
2016-04-21,63.68
2016-04-22,63.62
2016-04-25,63.57
2016-04-26,64.67
2016-04-27,65.1
2016-04-28,63.18
2016-04-29,62.1
2016-05-02,59.06
2016-05-03,59.22
2016-05-04,59.27
2016-05-05,59.62
2016-05-06,59.53
2016-05-09,59.69
2016-05-10,61.07
2016-05-11,60.72
2016-05-12,60.34
2016-05-13,60.21
2016-05-16,61.34
2016-05-17,60.91
2016-05-18,61.3
2016-05-19,61.04
2016-05-20,61.59
2016-05-23,62.0
2016-05-24,63.23
2016-05-25,63.17
2016-05-26,63.35
2016-05-27,64.1
2016-05-31,64.62
2016-06-01,65.23
2016-06-02,65.96
2016-06-03,65.01
2016-06-06,66.5
2016-06-07,67.49
2016-06-08,67.7
2016-06-09,67.99
2016-06-10,66.72
2016-06-13,65.97
2016-06-14,66.04
2016-06-15,66.15
2016-06-16,66.0
2016-06-17,65.79
2016-06-20,66.66
2016-06-21,66.82
2016-06-22,66.46
2016-06-23,67.33
2016-06-24,63.07
2016-06-27,60.01
2016-06-28,60.68
2016-06-29,60.47
2016-06-30,61.9
2016-07-01,61.86
2016-07-05,60.19
2016-07-06,59.88
2016-07-07,61.08
2016-07-08,63.28
2016-07-11,63.17
2016-07-12,64.32
2016-07-13,64.01
2016-07-14,64.54
2016-07-15,65.07
2016-07-18,65.17
2016-07-19,65.43
2016-07-20,66.12
2016-07-21,65.96
2016-07-22,65.81
2016-07-25,65.75
2016-07-26,66.16
2016-07-27,66.08
2016-07-28,66.33
2016-07-29,66.49
2016-08-01,66.63
2016-08-02,63.1
2016-08-03,64.3
2016-08-04,64.18
2016-08-05,65.19
2016-08-08,66.23
2016-08-09,66.31
2016-08-10,65.9
2016-08-11,66.36
2016-08-12,66.37
2016-08-15,66.81
2016-08-16,65.8
2016-08-17,65.67
2016-08-18,66.63
2016-08-19,67.21
2016-08-22,66.42
2016-08-23,66.4
2016-08-24,65.8
2016-08-25,65.69
2016-08-26,65.65
2016-08-29,66.24
2016-08-30,66.39
2016-08-31,65.83
2016-09-01,65.64
2016-09-02,65.24
2016-09-06,64.93
2016-09-07,65.58
2016-09-08,64.96
2016-09-09,62.31
2016-09-12,63.04
2016-09-13,61.46
2016-09-14,61.44
2016-09-15,62.02
2016-09-16,61.17
2016-09-19,63.97
2016-09-20,61.4
2016-09-21,62.91
2016-09-22,64.73
2016-09-23,63.67
2016-09-26,62.71
2016-09-27,63.31
2016-09-28,63.85
2016-09-29,63.37
2016-09-30,63.97
2016-10-03,63.1
2016-10-04,63.31
2016-10-05,64.41
2016-10-06,64.62
2016-10-07,64.08
2016-10-10,63.67
2016-10-11,62.74
2016-10-12,62.84
2016-10-13,62.41
2016-10-14,62.14
2016-10-17,62.11
2016-10-18,62.2
2016-10-19,62.21
2016-10-20,61.48
2016-10-21,61.42
2016-10-24,62.71
2016-10-25,62.58
2016-10-26,62.39
2016-10-27,61.32
2016-10-28,60.95
2016-10-31,61.12
2016-11-01,60.64
2016-11-02,60.98
2016-11-03,59.25
2016-11-04,60.01
2016-11-07,61.53
2016-11-08,60.99
2016-11-09,62.23
2016-11-10,62.79
2016-11-11,63.77
2016-11-14,65.11
2016-11-15,65.69
2016-11-16,65.85
2016-11-17,66.25
2016-11-18,65.9
2016-11-21,66.34
2016-11-22,67.48
2016-11-23,67.79
2016-11-25,68.33
2016-11-28,68.23
2016-11-29,68.4
2016-11-30,68.27
2016-12-01,68.04
2016-12-02,68.12
2016-12-05,68.79
2016-12-06,69.38
2016-12-07,70.53
2016-12-08,71.77
2016-12-09,71.88
2016-12-12,72.43
2016-12-13,72.13
2016-12-14,71.92
2016-12-15,72.21
2016-12-16,71.78
2016-12-19,72.0
2016-12-20,72.36
2016-12-21,72.33
2016-12-22,71.73
2016-12-23,71.98
2016-12-27,72.44
2016-12-28,72.0
2016-12-29,72.16
2016-12-30,71.3
2017-01-03,71.45
2017-01-04,72.99
2017-01-05,72.72
2017-01-06,73.04
2017-01-09,72.3
2017-01-10,73.1
2017-01-11,73.6
2017-01-12,73.13
2017-01-13,73.81
2017-01-17,72.21
2017-01-18,73.34
2017-01-19,72.83
2017-01-20,73.04
2017-01-23,72.71
2017-01-24,73.38
2017-01-25,73.76
2017-01-26,72.92
2017-01-27,72.86
2017-01-30,72.88
2017-01-31,73.52
2017-02-01,73.1
2017-02-02,73.2
2017-02-03,74.46
2017-02-06,74.58
2017-02-07,70.52
2017-02-08,72.26
2017-02-09,72.89
2017-02-10,72.14
2017-02-13,71.59
2017-02-14,72.21
2017-02-15,73.59
2017-02-16,73.06
2017-02-17,73.5
2017-02-21,73.86
2017-02-22,73.92
2017-02-23,73.4
2017-02-24,73.49
2017-02-27,73.37
2017-02-28,72.2
2017-03-01,75.37
2017-03-02,74.0
2017-03-03,74.11
2017-03-06,73.77
2017-03-07,73.2
2017-03-08,73.17
2017-03-09,73.06
2017-03-10,73.39
2017-03-13,73.44
2017-03-14,73.24
2017-03-15,74.65
2017-03-16,75.09
2017-03-17,75.35
2017-03-20,74.42
2017-03-21,72.49
2017-03-22,72.27
2017-03-23,72.73
2017-03-24,73.02
2017-03-27,72.75
2017-03-28,72.85
2017-03-29,72.94
2017-03-30,73.88
2017-03-31,73.41
2017-04-03,72.25
2017-04-04,72.17
2017-04-05,70.95
2017-04-06,71.1
2017-04-07,70.76
2017-04-10,70.64
2017-04-11,71.11
2017-04-12,69.97
2017-04-13,70.28
2017-04-17,70.9
2017-04-18,70.87
2017-04-19,71.13
2017-04-20,72.01
2017-04-21,70.87
2017-04-24,72.36
2017-04-25,73.26
2017-04-26,73.3
2017-04-27,72.24
2017-04-28,70.5
2017-05-01,71.5
2017-05-02,71.33
2017-05-03,72.04
2017-05-04,75.25
2017-05-05,76.54
2017-05-08,77.63
2017-05-09,76.5
2017-05-10,76.57
2017-05-11,76.73
2017-05-12,75.6
2017-05-15,75.68
2017-05-16,75.94
2017-05-17,73.49
2017-05-18,73.01
2017-05-19,73.92
2017-05-22,74.48
2017-05-23,74.01
2017-05-24,74.36
2017-05-25,75.19
2017-05-26,74.9
2017-05-30,75.53
2017-05-31,75.59
2017-06-01,76.55
2017-06-02,76.43
2017-06-05,75.57
2017-06-06,76.28
2017-06-07,76.2
2017-06-08,77.28
2017-06-09,77.11
2017-06-12,77.0
2017-06-13,77.08
2017-06-14,76.89
2017-06-15,76.62
2017-06-16,77.12
2017-06-19,78.15
2017-06-20,77.51
2017-06-21,77.01
2017-06-22,77.54
2017-06-23,79.31
2017-06-26,79.81
2017-06-27,78.33
2017-06-28,79.48
2017-06-29,78.39
2017-06-30,78.42
2017-07-03,79.01
2017-07-05,78.93
2017-07-06,77.5
2017-07-07,78.78
2017-07-10,78.36
2017-07-11,78.77
2017-07-12,79.56
2017-07-13,79.96
2017-07-14,80.72
2017-07-17,81.33
2017-07-18,81.23
2017-07-19,82.33
2017-07-20,82.49
2017-07-21,82.41
2017-07-24,82.66
2017-07-25,83.85
2017-07-26,83.65
2017-07-27,83.43
2017-07-28,81.81
2017-07-31,81.29
2017-08-01,81.83
2017-08-02,81.58
2017-08-03,80.33
2017-08-04,79.81
2017-08-07,78.87
2017-08-08,77.89
2017-08-09,77.14
2017-08-10,75.41
2017-08-11,75.3
2017-08-14,76.43
2017-08-15,75.81
2017-08-16,75.98
2017-08-17,74.53
2017-08-18,74.23
2017-08-21,74.36
2017-08-22,75.74
2017-08-23,75.32
2017-08-24,76.31
2017-08-25,76.93
2017-08-28,77.18
2017-08-29,77.31
2017-08-30,78.27
2017-08-31,79.43
2017-09-01,79.14
2017-09-05,77.32
2017-09-06,77.23
2017-09-07,77.02
2017-09-08,76.74
2017-09-11,77.96
2017-09-12,78.7
2017-09-13,78.73
2017-09-14,78.77
2017-09-15,79.52
2017-09-18,79.8
2017-09-19,79.8
2017-09-20,79.47
2017-09-21,79.52
2017-09-22,80.24
2017-09-25,80.24
2017-09-26,80.57
2017-09-27,80.5
2017-09-28,80.5
2017-09-29,80.41
2017-10-02,81.97
2017-10-03,82.3
2017-10-04,82.53
2017-10-05,82.39
2017-10-06,82.16
2017-10-09,82.0
2017-10-10,82.6
2017-10-11,82.87
2017-10-12,83.35
2017-10-13,82.97
2017-10-16,83.06
2017-10-17,83.08
2017-10-18,83.47
2017-10-19,82.68
2017-10-20,83.58
2017-10-23,83.19
2017-10-24,83.33
2017-10-25,83.39
2017-10-26,83.96
2017-10-27,83.77
2017-10-30,83.21
2017-10-31,83.59
2017-11-01,82.15
2017-11-02,79.1
2017-11-03,78.17
2017-11-06,78.13
2017-11-07,78.44
2017-11-08,78.66
2017-11-09,78.59
2017-11-10,78.28
2017-11-13,78.07
2017-11-14,77.77
2017-11-15,77.31
2017-11-16,78.47
2017-11-17,77.63
2017-11-20,78.55
2017-11-21,78.96
2017-11-22,78.68
2017-11-24,78.87
2017-11-27,78.89
2017-11-28,80.77
2017-11-29,80.32
2017-11-30,80.73
2017-12-01,79.2
2017-12-04,77.71
2017-12-05,77.74
2017-12-06,77.04
2017-12-07,77.5
2017-12-08,77.88
2017-12-11,78.3
2017-12-12,78.36
2017-12-13,78.0
2017-12-14,77.22
2017-12-15,78.51
2017-12-18,80.15
2017-12-19,80.44
2017-12-20,80.55
2017-12-21,80.63
2017-12-22,80.4
2017-12-26,79.78
2017-12-27,79.88
2017-12-28,80.5
2017-12-29,80.41
2018-01-02,81.22
2018-01-03,81.76
2018-01-04,82.75
2018-01-05,83.63
2018-01-08,83.93
2018-01-09,83.99
2018-01-10,82.35
2018-01-11,83.29
2018-01-12,83.67
2018-01-16,83.32
2018-01-17,83.83
2018-01-18,84.13
2018-01-19,86.94
2018-01-22,86.42
2018-01-23,85.87
2018-01-24,84.46
2018-01-25,83.41
2018-01-26,84.02
2018-01-29,83.36
2018-01-30,82.42
2018-01-31,81.34
2018-02-01,82.04
2018-02-02,81.0
2018-02-05,79.15
2018-02-06,78.71
2018-02-07,79.62
2018-02-08,76.32
2018-02-09,76.09
2018-02-12,77.94
2018-02-13,78.41
2018-02-14,80.19
2018-02-15,81.47
2018-02-16,81.81
2018-02-20,81.95
2018-02-21,81.39
2018-02-22,81.25
2018-02-23,82.84
2018-02-26,83.21
2018-02-27,82.36
2018-02-28,81.58
2018-03-01,79.34
2018-03-02,79.66
2018-03-05,80.57
2018-03-06,81.82
2018-03-07,81.56
