Date,Adj_Close
2016-01-04,42.32
2016-01-05,41.95
2016-01-06,40.51
2016-01-07,39.51
2016-01-08,38.34
2016-01-11,39.01
2016-01-12,39.08
2016-01-13,38.37
2016-01-14,38.91
2016-01-15,38.33
2016-01-19,38.03
2016-01-20,38.0
2016-01-21,37.78
2016-01-22,39.11
2016-01-25,38.84
2016-01-26,39.86
2016-01-27,39.35
2016-01-28,38.82
2016-01-29,39.92
2016-02-01,40.5
2016-02-02,39.45
2016-02-03,39.51
2016-02-04,40.44
2016-02-05,40.12
2016-02-08,39.37
2016-02-09,38.87
2016-02-10,39.19
2016-02-11,38.22
2016-02-12,39.0
2016-02-16,40.02
2016-02-17,40.77
2016-02-18,41.36
2016-02-19,41.28
2016-02-22,41.64
2016-02-23,41.06
2016-02-24,41.22
2016-02-25,41.28
2016-02-26,41.44
2016-02-29,41.15
2016-03-01,41.8
2016-03-02,41.94
2016-03-03,42.53
2016-03-04,42.81
2016-03-07,43.12
2016-03-08,42.49
2016-03-09,42.75
2016-03-10,42.43
2016-03-11,43.41
2016-03-14,43.0
2016-03-15,42.7
2016-03-16,43.2
2016-03-17,43.34
2016-03-18,43.88
2016-03-21,44.0
2016-03-22,44.73
2016-03-23,44.39
2016-03-24,44.02
2016-03-28,43.92
2016-03-29,44.36
2016-03-30,44.24
2016-03-31,44.3
2016-04-01,44.8
2016-04-04,44.07
2016-04-05,43.59
2016-04-06,44.09
2016-04-07,43.35
2016-04-08,43.48
2016-04-11,43.54
2016-04-12,43.9
2016-04-13,44.75
2016-04-14,44.35
2016-04-15,44.67
2016-04-18,44.55
2016-04-19,44.21
2016-04-20,44.28
2016-04-21,43.92
2016-04-22,43.85
2016-04-25,43.63
2016-04-26,44.39
2016-04-27,44.66
2016-04-28,41.9
2016-04-29,41.12
2016-05-02,40.29
2016-05-03,39.97
2016-05-04,39.85
2016-05-05,39.47
2016-05-06,39.4
2016-05-09,39.04
2016-05-10,39.79
2016-05-11,39.5
2016-05-12,38.95
2016-05-13,38.92
2016-05-16,39.43
2016-05-17,39.2
2016-05-18,39.29
2016-05-19,38.99
2016-05-20,39.25
2016-05-23,39.27
2016-05-24,40.01
2016-05-25,40.11
2016-05-26,40.45
2016-05-27,40.63
2016-05-31,41.03
2016-06-01,41.31
2016-06-02,41.49
2016-06-03,41.07
2016-06-06,41.23
2016-06-07,42.28
2016-06-08,42.48
2016-06-09,42.77
2016-06-10,42.22
2016-06-13,41.73
2016-06-14,41.9
2016-06-15,41.98
2016-06-16,41.98
2016-06-17,41.8
2016-06-20,42.81
2016-06-21,43.05
2016-06-22,42.86
2016-06-23,43.29
2016-06-24,40.89
2016-06-27,38.92
2016-06-28,39.68
2016-06-29,39.73
2016-06-30,40.51
2016-07-01,40.27
2016-07-05,39.23
2016-07-06,39.2
2016-07-07,39.95
2016-07-08,41.25
2016-07-11,38.8
2016-07-12,39.66
2016-07-13,39.61
2016-07-14,40.08
2016-07-15,40.4
2016-07-18,40.35
2016-07-19,40.4
2016-07-20,40.79
2016-07-21,40.77
2016-07-22,40.83
2016-07-25,40.48
2016-07-26,40.96
2016-07-27,40.84
2016-07-28,41.09
2016-07-29,41.1
2016-08-01,41.02
