Date,Adj_Close
2016-01-04,67.99
2016-01-05,67.28
2016-01-06,66.22
2016-01-07,63.94
2016-01-08,63.29
2016-01-11,61.47
2016-01-12,61.6
2016-01-13,60.89
2016-01-14,62.27
2016-01-15,59.87
2016-01-19,59.03
2016-01-20,58.81
2016-01-21,59.69
2016-01-22,60.98
2016-01-25,57.91
2016-01-26,59.16
2016-01-27,58.32
2016-01-28,61.08
2016-01-29,62.24
2016-02-01,62.7
2016-02-02,60.67
2016-02-03,63.27
2016-02-04,65.96
2016-02-05,66.12
2016-02-08,64.58
2016-02-09,63.93
2016-02-10,62.14
2016-02-11,61.41
2016-02-12,63.15
2016-02-16,65.21
2016-02-17,67.26
2016-02-18,66.12
2016-02-19,65.42
2016-02-22,67.31
2016-02-23,65.78
2016-02-24,65.88
2016-02-25,66.47
2016-02-26,66.87
2016-02-29,67.7
2016-03-01,69.09
2016-03-02,69.38
2016-03-03,71.75
2016-03-04,72.84
2016-03-07,74.77
2016-03-08,71.73
2016-03-09,71.87
2016-03-10,71.36
2016-03-11,72.8
2016-03-14,72.73
2016-03-15,72.44
2016-03-16,74.34
2016-03-17,75.9
2016-03-18,75.47
2016-03-21,75.89
2016-03-22,75.55
2016-03-23,73.68
2016-03-24,75.29
2016-03-28,75.32
2016-03-29,76.01
2016-03-30,76.51
2016-03-31,76.54
2016-04-01,76.79
2016-04-04,75.72
2016-04-05,75.24
2016-04-06,75.22
2016-04-07,74.17
2016-04-08,74.35
2016-04-11,74.63
2016-04-12,76.1
2016-04-13,79.13
2016-04-14,79.05
2016-04-15,79.17
2016-04-18,79.25
2016-04-19,80.39
2016-04-20,79.74
2016-04-21,78.66
2016-04-22,78.32
2016-04-25,76.79
2016-04-26,77.65
2016-04-27,78.68
2016-04-28,77.75
2016-04-29,77.72
2016-05-02,77.84
2016-05-03,76.36
2016-05-04,74.24
2016-05-05,72.79
2016-05-06,73.36
2016-05-09,70.78
2016-05-10,72.51
2016-05-11,72.43
2016-05-12,71.7
2016-05-13,70.07
2016-05-16,70.7
2016-05-17,71.05
2016-05-18,70.59
2016-05-19,69.43
2016-05-20,69.87
2016-05-23,70.4
2016-05-24,71.09
2016-05-25,72.57
2016-05-26,72.08
2016-05-27,71.96
2016-05-31,72.51
2016-06-01,72.27
2016-06-02,73.62
2016-06-03,75.04
2016-06-06,76.42
2016-06-07,76.81
2016-06-08,78.11
2016-06-09,77.16
2016-06-10,76.03
2016-06-13,75.23
2016-06-14,74.86
2016-06-15,75.07
2016-06-16,74.99
2016-06-17,75.93
2016-06-20,76.43
2016-06-21,76.49
2016-06-22,76.43
2016-06-23,78.22
2016-06-24,73.03
2016-06-27,71.38
2016-06-28,72.52
2016-06-29,74.23
2016-06-30,75.81
2016-07-01,76.45
2016-07-05,74.38
2016-07-06,74.83
2016-07-07,75.05
2016-07-08,77.37
2016-07-11,77.8
2016-07-12,79.8
2016-07-13,79.69
2016-07-14,80.06
2016-07-15,80.7
2016-07-18,79.82
2016-07-19,79.74
2016-07-20,79.69
2016-07-21,80.01
2016-07-22,79.38
2016-07-25,78.69
2016-07-26,82.75
2016-07-27,84.1
2016-07-28,82.92
2016-07-29,82.76
2016-08-01,81.95
2016-08-02,81.24
2016-08-03,82.03
2016-08-04,81.77
2016-08-05,82.56
2016-08-08,83.44
2016-08-09,82.83
2016-08-10,82.65
2016-08-11,83.24
2016-08-12,83.0
2016-08-15,84.15
2016-08-16,84.29
2016-08-17,84.41
2016-08-18,83.38
2016-08-19,83.84
2016-08-22,83.59
2016-08-23,84.01
2016-08-24,83.15
2016-08-25,82.84
2016-08-26,82.66
2016-08-29,83.1
2016-08-30,82.48
2016-08-31,81.95
2016-09-01,81.45
2016-09-02,81.69
2016-09-06,82.08
2016-09-07,83.72
2016-09-08,83.54
2016-09-09,80.79
2016-09-12,81.92
2016-09-13,80.23
2016-09-14,81.02
2016-09-15,82.03
2016-09-16,82.05
2016-09-19,81.88
2016-09-20,81.7
2016-09-21,83.47
2016-09-22,83.5
2016-09-23,82.44
2016-09-26,82.37
2016-09-27,82.88
2016-09-28,86.59
2016-09-29,87.47
2016-09-30,88.77
2016-10-03,88.28
2016-10-04,87.51
2016-10-05,89.42
2016-10-06,89.29
2016-10-07,88.47
2016-10-10,88.22
2016-10-11,87.47
2016-10-12,87.58
2016-10-13,86.97
2016-10-14,87.67
2016-10-17,87.29
2016-10-18,87.22
2016-10-19,88.0
2016-10-20,86.63
2016-10-21,86.33
2016-10-24,85.99
2016-10-25,84.48
2016-10-26,84.13
2016-10-27,83.01
2016-10-28,83.88
2016-10-31,83.46
2016-11-01,82.24
2016-11-02,81.11
2016-11-03,81.27
2016-11-04,82.31
2016-11-07,83.75
