Date,Adj_Close
2016-01-04,72.41
2016-01-05,72.83
2016-01-06,72.71
2016-01-07,71.84
2016-01-08,71.46
2016-01-11,69.64
2016-01-12,70.73
2016-01-13,68.48
2016-01-14,68.39
2016-01-15,68.88
2016-01-19,70.34
2016-01-20,70.23
2016-01-21,70.81
2016-01-22,71.86
2016-01-25,72.18
2016-01-26,73.69
2016-01-27,74.04
2016-01-28,73.4
2016-01-29,75.06
2016-02-01,76.35
2016-02-02,76.34
2016-02-03,75.1
2016-02-04,72.86
2016-02-05,71.66
2016-02-08,69.71
2016-02-09,69.52
2016-02-10,69.67
2016-02-11,68.75
2016-02-12,70.46
2016-02-16,73.04
2016-02-17,74.27
2016-02-18,72.6
2016-02-19,72.0
2016-02-22,72.78
2016-02-23,74.11
2016-02-24,75.08
2016-02-25,76.27
2016-02-26,76.02
2016-02-29,74.25
2016-03-01,75.55
2016-03-02,74.79
2016-03-03,75.02
2016-03-04,74.88
2016-03-07,74.58
2016-03-08,74.24
2016-03-09,75.21
2016-03-10,83.23
2016-03-11,85.01
2016-03-14,85.81
2016-03-15,85.04
2016-03-16,84.67
2016-03-17,84.14
2016-03-18,84.04
2016-03-21,84.62
2016-03-22,83.9
2016-03-23,84.51
2016-03-24,83.95
2016-03-28,86.08
2016-03-29,86.18
2016-03-30,86.14
2016-03-31,85.6
2016-04-01,87.31
2016-04-04,86.17
2016-04-05,84.66
2016-04-06,84.6
2016-04-07,83.72
2016-04-08,82.31
2016-04-11,82.27
2016-04-12,83.35
2016-04-13,83.29
2016-04-14,82.71
2016-04-15,82.8
2016-04-18,83.74
2016-04-19,83.49
2016-04-20,82.54
2016-04-21,82.97
2016-04-22,81.44
2016-04-25,82.0
2016-04-26,82.3
2016-04-27,82.69
2016-04-28,80.96
2016-04-29,81.91
2016-05-02,82.5
2016-05-03,82.93
2016-05-04,84.0
2016-05-05,82.62
2016-05-06,83.27
2016-05-09,85.08
2016-05-10,84.32
2016-05-11,83.1
2016-05-12,83.69
2016-05-13,81.54
2016-05-16,82.88
2016-05-17,81.17
2016-05-18,79.71
2016-05-19,82.0
2016-05-20,81.62
2016-05-23,81.22
2016-05-24,83.42
2016-05-25,84.13
2016-05-26,88.01
2016-05-27,89.88
2016-05-31,89.9
2016-06-01,90.74
2016-06-02,90.9
2016-06-03,91.8
2016-06-06,90.87
2016-06-07,90.56
2016-06-08,90.88
2016-06-09,91.69
2016-06-10,91.44
2016-06-13,90.74
2016-06-14,90.58
2016-06-15,90.48
2016-06-16,90.81
2016-06-17,90.05
2016-06-20,90.98
2016-06-21,91.46
2016-06-22,91.94
2016-06-23,91.68
2016-06-24,92.13
2016-06-27,93.51
2016-06-28,92.9
2016-06-29,93.8
2016-06-30,94.0
2016-07-01,93.48
2016-07-05,93.6
2016-07-06,94.51
2016-07-07,93.78
2016-07-08,94.32
2016-07-11,94.24
2016-07-12,93.04
2016-07-13,92.43
2016-07-14,92.63
2016-07-15,91.71
2016-07-18,92.82
2016-07-19,93.15
2016-07-20,93.82
2016-07-21,94.04
2016-07-22,95.15
2016-07-25,95.98
2016-07-26,96.71
2016-07-27,95.07
2016-07-28,95.07
2016-07-29,94.74
2016-08-01,94.06
2016-08-02,93.16
2016-08-03,93.77
2016-08-04,93.12
2016-08-05,94.37
2016-08-08,92.99
2016-08-09,92.04
2016-08-10,93.02
2016-08-11,92.72
2016-08-12,92.91
2016-08-15,92.13
2016-08-16,89.49
2016-08-17,90.92
2016-08-18,91.69
2016-08-19,90.85
2016-08-22,90.8
2016-08-23,91.49
2016-08-24,91.79
2016-08-25,75.61
2016-08-26,75.5
2016-08-29,77.49
2016-08-30,75.65
2016-08-31,73.41
2016-09-01,73.78
2016-09-02,73.32
2016-09-06,72.0
2016-09-07,71.75
2016-09-08,70.67
2016-09-09,70.58
2016-09-12,71.77
2016-09-13,70.38
2016-09-14,71.51
2016-09-15,72.53
2016-09-16,71.91
2016-09-19,71.83
2016-09-20,71.72
2016-09-21,72.18
2016-09-22,71.89
2016-09-23,72.09
2016-09-26,71.69
2016-09-27,71.6
2016-09-28,70.5
2016-09-29,69.32
2016-09-30,69.99
2016-10-03,69.7
2016-10-04,68.05
2016-10-05,66.97
2016-10-06,69.05
2016-10-07,69.66
2016-10-10,69.41
2016-10-11,68.7
2016-10-12,69.06
2016-10-13,69.35
2016-10-14,68.98
2016-10-17,68.49
2016-10-18,68.69
2016-10-19,68.7
2016-10-20,67.98
2016-10-21,67.93
2016-10-24,68.27
2016-10-25,68.17
2016-10-26,68.27
2016-10-27,67.45
2016-10-28,68.34
2016-10-31,69.09
2016-11-01,69.05
2016-11-02,69.6
2016-11-03,68.53
2016-11-04,68.53
2016-11-07,69.77
2016-11-08,69.72
2016-11-09,71.5
2016-11-10,74.38
2016-11-11,74.7
2016-11-14,76.66
2016-11-15,76.85
2016-11-16,76.64
2016-11-17,76.91
2016-11-18,76.87
2016-11-21,76.74
2016-11-22,79.3
2016-11-23,79.71
2016-11-25,80.06
2016-11-28,78.66
2016-11-29,78.31
2016-11-30,77.32
2016-12-01,73.48
2016-12-02,74.56
2016-12-05,76.37
2016-12-06,75.69
2016-12-07,77.1
2016-12-08,76.92
2016-12-09,77.2
2016-12-12,76.21
2016-12-13,75.96
2016-12-14,75.89
2016-12-15,77.11
2016-12-16,77.1
2016-12-19,75.95
2016-12-20,77.27
2016-12-21,77.43
2016-12-22,74.36
2016-12-23,74.14
2016-12-27,74.53
2016-12-28,74.02
2016-12-29,74.13
2016-12-30,74.07
2017-01-03,74.19
2017-01-04,76.04
2017-01-05,74.52
2017-01-06,73.35
2017-01-09,73.73
2017-01-10,74.25
2017-01-11,73.42
2017-01-12,73.59
2017-01-13,73.09
2017-01-17,74.33
2017-01-18,72.44
2017-01-19,71.01
2017-01-20,71.0
2017-01-23,70.46
2017-01-24,71.75
2017-01-25,71.96
2017-01-26,71.69
2017-01-27,70.31
2017-01-30,72.0
2017-01-31,73.82
2017-02-01,73.39
2017-02-02,73.5
2017-02-03,73.14
2017-02-06,72.26
2017-02-07,72.8
2017-02-08,75.07
2017-02-09,77.71
2017-02-10,76.79
2017-02-13,76.02
2017-02-14,77.14
2017-02-15,77.38
2017-02-16,76.02
2017-02-17,77.67
2017-02-21,77.86
2017-02-22,77.38
2017-02-23,75.92
2017-02-24,77.35
2017-02-27,76.79
2017-02-28,73.02
2017-03-01,73.35
2017-03-02,74.07
2017-03-03,73.12
2017-03-06,72.42
2017-03-07,71.36
2017-03-08,72.53
2017-03-09,73.63
2017-03-10,72.89
2017-03-13,72.59
2017-03-14,72.82
2017-03-15,72.81
2017-03-16,73.2
2017-03-17,72.33
2017-03-20,71.6
2017-03-21,70.01
2017-03-22,70.68
2017-03-23,68.9
2017-03-24,69.48
2017-03-27,68.97
2017-03-28,68.55
2017-03-29,70.69
2017-03-30,70.86
2017-03-31,69.73
2017-04-03,68.82
2017-04-04,68.35
2017-04-05,68.5
2017-04-06,69.55
2017-04-07,69.33
2017-04-10,69.56
2017-04-11,69.15
2017-04-12,68.96
2017-04-13,68.74
2017-04-17,69.12
2017-04-18,69.07
2017-04-19,69.31
2017-04-20,70.67
2017-04-21,70.72
2017-04-24,71.42
2017-04-25,71.55
2017-04-26,72.6
2017-04-27,73.22
2017-04-28,72.71
2017-05-01,72.05
2017-05-02,73.77
2017-05-03,73.99
2017-05-04,73.37
2017-05-05,73.62
2017-05-08,73.69
2017-05-09,73.69
2017-05-10,73.91
2017-05-11,72.06
2017-05-12,71.58
2017-05-15,71.72
2017-05-16,70.94
2017-05-17,70.67
2017-05-18,71.13
2017-05-19,71.95
2017-05-22,72.45
2017-05-23,70.71
2017-05-24,70.21
2017-05-25,72.47
2017-05-26,72.32
2017-05-30,73.02
2017-05-31,73.39
2017-06-01,78.19
2017-06-02,78.91
2017-06-05,78.31
2017-06-06,75.34
2017-06-07,74.07
2017-06-08,73.69
2017-06-09,75.22
2017-06-12,75.11
2017-06-13,75.71
2017-06-14,75.66
2017-06-15,72.32
2017-06-16,70.12
2017-06-19,71.7
2017-06-20,71.4
2017-06-21,71.73
2017-06-22,71.08
2017-06-23,69.75
2017-06-26,70.41
2017-06-27,70.79
2017-06-28,71.48
2017-06-29,70.84
2017-06-30,72.09
2017-07-03,71.93
2017-07-05,71.24
2017-07-06,70.03
2017-07-07,70.23
2017-07-10,69.49
2017-07-11,69.04
2017-07-12,69.69
2017-07-13,70.58
2017-07-14,71.14
2017-07-17,71.87
2017-07-18,70.8
2017-07-19,71.39
2017-07-20,71.35
2017-07-21,72.2
2017-07-24,71.98
2017-07-25,73.57
2017-07-26,74.6
2017-07-27,75.12
2017-07-28,74.75
2017-07-31,75.16
2017-08-01,75.52
2017-08-02,74.71
2017-08-03,74.49
2017-08-04,74.86
2017-08-07,76.41
2017-08-08,76.69
2017-08-09,77.15
2017-08-10,75.58
2017-08-11,75.49
2017-08-14,76.57
2017-08-15,73.64
2017-08-16,74.5
2017-08-17,74.27
2017-08-18,73.82
2017-08-21,74.71
2017-08-22,76.46
2017-08-23,76.33
2017-08-24,75.69
2017-08-25,77.67
2017-08-28,77.37
2017-08-29,76.89
2017-08-30,76.73
2017-08-31,72.56
2017-09-01,72.54
2017-09-05,74.36
2017-09-06,75.29
2017-09-07,76.39
2017-09-08,75.56
2017-09-11,75.97
2017-09-12,76.96
2017-09-13,77.84
2017-09-14,77.23
2017-09-15,77.6
2017-09-18,77.28
2017-09-19,76.99
2017-09-20,77.55
2017-09-21,76.77
2017-09-22,77.66
2017-09-25,79.34
2017-09-26,79.33
2017-09-27,79.93
2017-09-28,80.02
2017-09-29,81.05
2017-10-02,81.9
2017-10-03,81.4
2017-10-04,81.29
2017-10-05,81.48
2017-10-06,80.33
2017-10-09,79.18
2017-10-10,80.94
2017-10-11,82.54
2017-10-12,82.18
2017-10-13,82.57
2017-10-16,82.12
2017-10-17,82.1
2017-10-18,82.8
2017-10-19,82.91
2017-10-20,83.61
2017-10-23,83.92
2017-10-24,84.1
2017-10-25,83.97
2017-10-26,84.37
2017-10-27,83.26
2017-10-30,81.23
2017-10-31,80.84
2017-11-01,81.23
2017-11-02,82.51
2017-11-03,81.87
2017-11-06,80.68
2017-11-07,80.66
2017-11-08,80.7
2017-11-09,81.91
2017-11-10,84.15
2017-11-13,83.55
2017-11-14,83.25
2017-11-15,82.3
2017-11-16,84.91
2017-11-17,85.5
2017-11-20,86.94
2017-11-21,86.65
2017-11-22,87.23
2017-11-24,86.28
2017-11-27,86.35
2017-11-28,87.73
2017-11-29,88.68
2017-11-30,88.08
2017-12-01,87.98
2017-12-04,90.77
2017-12-05,90.37
2017-12-06,90.85
2017-12-07,93.37
2017-12-08,93.38
2017-12-11,93.35
2017-12-12,91.23
2017-12-13,91.64
2017-12-14,90.79
2017-12-15,90.93
2017-12-18,92.55
2017-12-19,92.1
2017-12-20,91.73
2017-12-21,91.64
2017-12-22,92.91
2017-12-26,92.48
2017-12-27,92.62
2017-12-28,92.58
2017-12-29,93.01
2018-01-02,94.06
2018-01-03,93.99
2018-01-04,95.09
2018-01-05,95.72
2018-01-08,94.15
2018-01-09,94.25
2018-01-10,94.78
2018-01-11,98.19
2018-01-12,99.1
2018-01-16,98.44
2018-01-17,100.5
2018-01-18,101.03
2018-01-19,101.98
2018-01-22,102.27
2018-01-23,103.17
2018-01-24,102.69
2018-01-25,103.75
2018-01-26,105.3
2018-01-29,105.34
2018-01-30,104.23
2018-01-31,103.12
2018-02-01,102.28
2018-02-02,99.44
2018-02-05,95.8
2018-02-06,97.6
2018-02-07,97.88
2018-02-08,95.1
2018-02-09,98.26
2018-02-12,95.09
2018-02-13,96.86
2018-02-14,96.67
2018-02-15,98.45
2018-02-16,97.73
2018-02-20,94.56
2018-02-21,95.27
2018-02-22,96.1
2018-02-23,97.2
2018-02-26,97.55
2018-02-27,95.52
2018-02-28,94.59
2018-03-01,95.31
2018-03-02,94.28
2018-03-05,93.43
2018-03-06,93.44
2018-03-07,89.39
2018-03-08,86.05
2018-03-09,86.94
2018-03-12,88.61
2018-03-13,89.53
2018-03-14,89.2
2018-03-15,93.44
2018-03-16,95.43
2018-03-19,94.04
2018-03-20,93.41
2018-03-21,92.98
2018-03-22,91.75
2018-03-23,90.06
2018-03-26,92.65
2018-03-27,92.43
2018-03-28,92.94
2018-03-29,93.55
2018-04-02,93.43
2018-04-03,93.31
2018-04-04,95.0
2018-04-05,96.4
2018-04-06,94.97
2018-04-09,95.7
2018-04-10,96.44
2018-04-11,96.27
2018-04-12,96.89
2018-04-13,96.28
2018-04-16,97.07
2018-04-17,99.87
2018-04-18,100.18
2018-04-19,99.0
2018-04-20,96.34
2018-04-23,97.01
2018-04-24,96.82
2018-04-25,97.25
2018-04-26,99.03
2018-04-27,98.36
2018-04-30,96.53
2018-05-01,96.54
2018-05-02,96.4
2018-05-03,96.3
2018-05-04,95.55
2018-05-07,94.0
2018-05-08,93.88
2018-05-09,93.52
2018-05-10,92.94
2018-05-11,93.62
2018-05-14,93.72
2018-05-15,94.0
2018-05-16,96.2
2018-05-17,96.67
2018-05-18,96.73
2018-05-21,97.21
2018-05-22,96.41
2018-05-23,96.28
2018-05-24,96.91
2018-05-25,96.62
2018-05-29,96.24
2018-05-30,96.52
2018-05-31,87.48
2018-06-01,89.26
2018-06-04,91.0
2018-06-05,94.18
2018-06-06,94.63
2018-06-07,93.82
2018-06-08,94.9
2018-06-11,95.92
2018-06-12,96.68
2018-06-13,96.73
2018-06-14,96.33
2018-06-15,97.33
2018-06-18,97.94
2018-06-19,97.43
2018-06-20,98.01
2018-06-21,98.68
2018-06-22,100.15
2018-06-25,100.45
2018-06-26,99.73
2018-06-27,98.67
2018-06-28,99.13
2018-06-29,98.6
2018-07-02,98.06
2018-07-03,98.1
2018-07-05,98.12
2018-07-06,98.63
2018-07-09,98.39
2018-07-10,100.01
2018-07-11,99.02
2018-07-12,98.55
2018-07-13,99.5
2018-07-16,99.13
2018-07-17,99.4
2018-07-18,99.09
2018-07-19,99.2
2018-07-20,98.17
2018-07-23,98.73
2018-07-24,98.59
2018-07-25,98.75
2018-07-26,99.16
2018-07-27,97.43
2018-07-30,98.14
2018-07-31,98.15
2018-08-01,96.65
2018-08-02,98.28
2018-08-03,98.23
2018-08-06,98.67
2018-08-07,100.92
2018-08-08,101.78
2018-08-09,102.98
2018-08-10,102.33
2018-08-13,102.47
2018-08-14,105.1
2018-08-15,104.13
2018-08-16,104.88
2018-08-17,106.38
2018-08-20,107.53
2018-08-21,107.6
2018-08-22,107.27
2018-08-23,108.08
2018-08-24,108.01
2018-08-27,107.19
2018-08-28,106.84
2018-08-29,106.7
2018-08-30,105.66
2018-08-31,107.73
2018-09-04,109.82
2018-09-05,111.06
2018-09-06,111.12
