Date,Adj_Close
2016-01-04,46.85
2016-01-05,45.81
2016-01-06,47.72
2016-01-07,49.31
2016-01-08,48.83
2016-01-11,47.76
2016-01-12,46.67
2016-01-13,46.87
2016-01-14,46.17
2016-01-15,45.11
2016-01-19,42.46
2016-01-20,42.47
2016-01-21,42.62
2016-01-22,42.46
2016-01-25,42.55
2016-01-26,43.53
2016-01-27,43.61
2016-01-28,42.79
2016-01-29,44.11
2016-02-01,44.99
2016-02-02,44.19
2016-02-03,47.3
2016-02-04,48.76
2016-02-05,50.06
2016-02-08,53.17
2016-02-09,51.53
2016-02-10,50.35
2016-02-11,53.64
2016-02-12,54.4
2016-02-16,52.37
2016-02-17,52.99
2016-02-18,57.23
2016-02-19,57.42
2016-02-22,57.7
2016-02-23,59.24
2016-02-24,59.23
2016-02-25,60.23
2016-02-26,59.26
2016-02-29,59.59
2016-03-01,57.4
2016-03-02,57.77
2016-03-03,57.71
2016-03-04,57.26
2016-03-07,57.67
2016-03-08,57.02
2016-03-09,57.91
2016-03-10,60.56
2016-03-11,61.38
2016-03-14,59.31
2016-03-15,60.85
2016-03-16,66.15
2016-03-17,65.72
2016-03-18,65.64
2016-03-21,64.92
2016-03-22,63.93
2016-03-23,60.7
2016-03-24,61.37
2016-03-28,60.82
2016-03-29,63.94
2016-03-30,62.74
2016-03-31,61.38
2016-04-01,61.06
2016-04-04,60.22
2016-04-05,62.4
2016-04-06,62.96
2016-04-07,64.22
2016-04-08,65.13
2016-04-11,67.6
2016-04-12,69.13
2016-04-13,67.2
2016-04-14,66.37
2016-04-15,67.58
2016-04-18,67.97
2016-04-19,69.48
2016-04-20,69.25
2016-04-21,67.2
2016-04-22,66.78
2016-04-25,65.32
2016-04-26,66.47
2016-04-27,66.48
2016-04-28,68.61
2016-04-29,70.16
2016-05-02,68.8
2016-05-03,67.58
2016-05-04,64.76
2016-05-05,68.05
2016-05-06,70.24
2016-05-09,67.33
2016-05-10,69.63
2016-05-11,69.82
2016-05-12,68.09
2016-05-13,67.74
2016-05-16,68.43
2016-05-17,69.72
2016-05-18,64.13
2016-05-19,64.83
2016-05-20,65.52
2016-05-23,64.87
2016-05-24,61.79
2016-05-25,63.76
2016-05-26,63.44
2016-05-27,62.81
2016-05-31,63.36
2016-06-01,64.26
2016-06-02,63.88
2016-06-03,69.62
2016-06-06,69.29
2016-06-07,68.57
2016-06-08,69.5
2016-06-09,70.65
2016-06-10,70.95
2016-06-13,70.37
2016-06-14,69.02
2016-06-15,70.5
2016-06-16,71.01
2016-06-17,70.54
2016-06-20,70.6
2016-06-21,68.81
2016-06-22,68.86
2016-06-23,68.06
2016-06-24,72.43
2016-06-27,72.54
2016-06-28,72.81
2016-06-29,74.37
2016-06-30,76.06
2016-07-01,78.72
2016-07-05,78.15
2016-07-06,79.72
2016-07-07,77.24
2016-07-08,79.28
2016-07-11,78.87
2016-07-12,75.75
2016-07-13,77.51
2016-07-14,76.21
2016-07-15,75.17
2016-07-18,76.03
2016-07-19,75.85
2016-07-20,72.8
2016-07-21,74.01
2016-07-22,73.78
2016-07-25,72.55
2016-07-26,73.08
2016-07-27,75.11
2016-07-28,75.2
2016-07-29,77.03
2016-08-01,77.88
