Date,Adj_Close
2016-01-04,84.03
2016-01-05,84.33
2016-01-06,82.66
2016-01-07,80.88
2016-01-08,78.56
2016-01-11,79.07
2016-01-12,79.64
2016-01-13,77.4
2016-01-14,78.5
2016-01-15,78.47
2016-01-19,78.31
2016-01-20,79.04
2016-01-21,79.22
2016-01-22,79.73
2016-01-25,79.3
2016-01-26,82.05
2016-01-27,82.02
2016-01-28,83.35
2016-01-29,86.17
2016-02-01,83.91
2016-02-02,82.67
2016-02-03,83.84
2016-02-04,86.03
2016-02-05,84.81
2016-02-08,85.27
2016-02-09,86.39
2016-02-10,86.22
2016-02-11,86.44
2016-02-12,87.86
2016-02-16,89.61
2016-02-17,90.02
2016-02-18,90.79
2016-02-19,92.07
2016-02-22,92.39
2016-02-23,91.75
2016-02-24,91.04
2016-02-25,91.87
2016-02-26,91.26
2016-02-29,90.15
2016-03-01,93.03
2016-03-02,93.54
2016-03-03,93.93
2016-03-04,93.65
2016-03-07,94.5
2016-03-08,93.87
2016-03-09,93.94
2016-03-10,93.92
2016-03-11,95.37
2016-03-14,95.0
2016-03-15,94.88
2016-03-16,95.57
2016-03-17,98.41
2016-03-18,98.05
2016-03-21,97.52
2016-03-22,96.95
2016-03-23,97.62
2016-03-24,97.72
2016-03-28,97.84
2016-03-29,98.61
2016-03-30,99.12
2016-03-31,99.36
2016-04-01,99.72
2016-04-04,98.31
2016-04-05,97.72
2016-04-06,98.04
2016-04-07,96.91
2016-04-08,97.19
2016-04-11,96.79
2016-04-12,97.59
2016-04-13,99.33
2016-04-14,98.42
2016-04-15,99.4
2016-04-18,99.83
2016-04-19,96.88
2016-04-20,96.49
2016-04-21,96.19
2016-04-22,96.78
2016-04-25,96.9
2016-04-26,98.22
2016-04-27,98.23
2016-04-28,97.34
2016-04-29,95.97
2016-05-02,96.76
2016-05-03,96.39
2016-05-04,96.07
2016-05-05,95.96
2016-05-06,97.0
2016-05-09,97.01
2016-05-10,97.95
2016-05-11,96.12
2016-05-12,97.11
2016-05-13,96.07
2016-05-16,96.94
2016-05-17,94.33
2016-05-18,94.18
2016-05-19,93.48
2016-05-20,94.14
2016-05-23,93.72
2016-05-24,95.31
2016-05-25,96.29
2016-05-26,96.32
2016-05-27,97.06
2016-05-31,96.92
2016-06-01,96.31
2016-06-02,96.93
2016-06-03,96.16
2016-06-06,96.97
2016-06-07,97.47
