Date,Adj_Close
2016-01-04,32.88
2016-01-05,33.02
2016-01-06,32.22
2016-01-07,30.25
2016-01-08,28.57
2016-01-11,28.62
2016-01-12,29.07
2016-01-13,29.21
2016-01-14,29.04
2016-01-15,28.85
2016-01-19,27.39
2016-01-20,27.19
2016-01-21,26.86
2016-01-22,28.12
2016-01-25,27.17
2016-01-26,28.1
2016-01-27,27.99
2016-01-28,31.92
2016-01-29,33.01
2016-02-01,32.15
2016-02-02,30.65
2016-02-03,30.21
2016-02-04,31.28
2016-02-05,30.66
2016-02-08,29.61
2016-02-09,29.34
2016-02-10,29.77
2016-02-11,28.48
2016-02-12,30.23
2016-02-16,31.02
2016-02-17,30.5
2016-02-18,30.1
2016-02-19,30.46
2016-02-22,31.47
2016-02-23,31.58
2016-02-24,31.62
2016-02-25,32.14
2016-02-26,31.88
2016-02-29,32.47
2016-03-01,33.45
2016-03-02,33.97
2016-03-03,34.6
2016-03-04,34.39
2016-03-07,35.5
2016-03-08,34.22
2016-03-09,34.66
2016-03-10,34.0
2016-03-11,35.26
2016-03-14,34.74
2016-03-15,34.32
2016-03-16,35.01
2016-03-17,35.74
2016-03-18,36.19
2016-03-21,35.37
2016-03-22,35.14
2016-03-23,33.64
2016-03-24,33.7
2016-03-28,34.99
2016-03-29,36.12
2016-03-30,35.74
2016-03-31,36.46
2016-04-01,36.51
2016-04-04,35.82
2016-04-05,35.97
2016-04-06,36.88
2016-04-07,38.12
2016-04-08,38.32
2016-04-11,38.58
2016-04-12,38.45
2016-04-13,39.39
2016-04-14,38.78
2016-04-15,38.65
2016-04-18,38.48
2016-04-19,37.85
2016-04-20,38.27
2016-04-21,37.98
2016-04-22,37.75
2016-04-25,37.34
2016-04-26,37.95
2016-04-27,38.59
2016-04-28,33.74
2016-04-29,34.03
2016-05-02,33.96
2016-05-03,33.45
2016-05-04,33.25
2016-05-05,33.14
2016-05-06,32.84
2016-05-09,33.66
2016-05-10,34.09
2016-05-11,33.62
2016-05-12,33.46
2016-05-13,33.67
2016-05-16,33.93
2016-05-17,34.74
2016-05-18,34.19
2016-05-19,34.14
2016-05-20,34.77
2016-05-23,34.29
2016-05-24,36.16
2016-05-25,36.47
2016-05-26,36.37
2016-05-27,36.7
2016-05-31,36.49
2016-06-01,36.7
2016-06-02,36.22
2016-06-03,36.65
2016-06-06,36.79
2016-06-07,37.85
2016-06-08,38.16
2016-06-09,38.29
2016-06-10,37.16
2016-06-13,36.03
2016-06-14,35.82
2016-06-15,36.22
2016-06-16,36.23
2016-06-17,36.96
2016-06-20,37.38
2016-06-21,37.07
2016-06-22,36.65
2016-06-23,37.68
2016-06-24,36.35
2016-06-27,35.05
2016-06-28,35.74
2016-06-29,36.94
2016-06-30,37.54
2016-07-01,37.91
2016-07-05,37.49
2016-07-06,38.5
2016-07-07,38.93
2016-07-08,39.91
2016-07-11,39.26
2016-07-12,39.96
2016-07-13,40.06
2016-07-14,39.8
2016-07-15,40.07
2016-07-18,39.94
2016-07-19,39.53
2016-07-20,39.99
2016-07-21,39.9
2016-07-22,40.14
2016-07-25,39.76
2016-07-26,40.49
2016-07-27,40.55
2016-07-28,37.54
2016-07-29,36.39
2016-08-01,36.74
2016-08-02,35.31
2016-08-03,35.84
2016-08-04,35.49
2016-08-05,35.81
2016-08-08,35.56
2016-08-09,35.75
2016-08-10,35.19
2016-08-11,35.43
2016-08-12,34.92
2016-08-15,35.34
2016-08-16,35.12
2016-08-17,34.76
2016-08-18,34.84
2016-08-19,34.7
2016-08-22,34.86
2016-08-23,36.06
2016-08-24,35.63
2016-08-25,35.84
2016-08-26,35.7
2016-08-29,35.47
2016-08-30,36.13
2016-08-31,35.9
2016-09-01,35.65
2016-09-02,35.97
2016-09-06,36.09
2016-09-07,36.73
2016-09-08,36.37
2016-09-09,34.72
2016-09-12,35.41
2016-09-13,34.25
2016-09-14,33.95
2016-09-15,33.62
2016-09-16,32.85
2016-09-19,32.98
2016-09-20,32.34
2016-09-21,32.75
2016-09-22,33.8
2016-09-23,33.74
2016-09-26,33.93
2016-09-27,34.36
2016-09-28,34.61
2016-09-29,34.15
2016-09-30,34.7
2016-10-03,34.66
2016-10-04,34.43
2016-10-05,34.84
2016-10-06,34.83
2016-10-07,34.16
2016-10-10,34.38
2016-10-11,34.3
2016-10-12,34.23
2016-10-13,33.83
2016-10-14,33.9
2016-10-17,33.8
2016-10-18,33.85
2016-10-19,34.3
2016-10-20,33.7
2016-10-21,33.15
2016-10-24,33.2
2016-10-25,32.3
2016-10-26,33.15
2016-10-27,30.7
2016-10-28,30.85
2016-10-31,30.95
2016-11-01,30.25
2016-11-02,30.05
2016-11-03,29.95
2016-11-04,30.35
2016-11-07,31.0
2016-11-08,30.65
2016-11-09,31.6
2016-11-10,32.6
2016-11-11,33.55
2016-11-14,34.5
2016-11-15,34.55
2016-11-16,34.3
2016-11-17,35.2
2016-11-18,35.5
2016-11-21,35.7
2016-11-22,36.0
2016-11-23,36.35
2016-11-25,36.8
2016-11-28,37.1
2016-11-29,36.9
2016-11-30,36.05
2016-12-01,35.1
2016-12-02,35.1
2016-12-05,35.85
2016-12-06,36.7
2016-12-07,37.8
2016-12-08,38.95
2016-12-09,38.4
2016-12-12,38.05
2016-12-13,37.7
2016-12-14,36.55
2016-12-15,35.7
2016-12-16,36.6
2016-12-19,36.85
2016-12-20,36.7
2016-12-21,37.0
2016-12-22,36.05
2016-12-23,35.85
2016-12-27,36.0
2016-12-28,35.5
2016-12-29,36.15
2016-12-30,34.8
2017-01-03,35.45
2017-01-04,36.4
2017-01-05,36.25
2017-01-06,34.7
2017-01-09,34.35
2017-01-10,35.2
2017-01-11,35.95
2017-01-12,35.45
2017-01-13,35.35
2017-01-17,35.3
2017-01-18,35.3
2017-01-19,34.55
2017-01-20,34.75
2017-01-23,34.8
2017-01-24,36.75
2017-01-25,37.3
2017-01-26,37.55
2017-01-27,36.9
2017-01-30,36.85
2017-01-31,36.75
2017-02-01,34.75
2017-02-02,34.4
2017-02-03,35.05
2017-02-06,34.45
2017-02-07,33.85
2017-02-08,34.05
2017-02-09,33.75
2017-02-10,34.75
2017-02-13,34.4
2017-02-14,34.1
2017-02-15,34.35
2017-02-16,34.1
2017-02-17,34.15
2017-02-21,34.25
2017-02-22,34.6
2017-02-23,34.35
2017-02-24,34.55
2017-02-27,35.8
2017-02-28,35.55
2017-03-01,36.65
2017-03-02,36.4
2017-03-03,36.3
2017-03-06,36.35
2017-03-07,36.5
2017-03-08,36.75
2017-03-09,36.6
2017-03-10,37.05
2017-03-13,36.95
2017-03-14,36.5
2017-03-15,37.0
2017-03-16,38.75
2017-03-17,38.25
2017-03-20,38.15
2017-03-21,37.4
2017-03-22,36.85
2017-03-23,36.55
2017-03-24,36.35
2017-03-27,36.15
2017-03-28,36.6
2017-03-29,36.6
2017-03-30,36.65
2017-03-31,36.8
2017-04-03,37.2
2017-04-04,37.0
2017-04-05,36.5
2017-04-06,37.15
2017-04-07,37.1
2017-04-10,37.65
2017-04-11,38.15
2017-04-12,37.8
2017-04-13,37.95
2017-04-17,38.8
2017-04-18,39.0
2017-04-19,38.8
2017-04-20,38.55
2017-04-21,39.05
2017-04-24,39.0
2017-04-25,38.75
2017-04-26,39.65
2017-04-27,40.3
2017-04-28,38.95
2017-05-01,38.5
2017-05-02,38.15
2017-05-03,37.95
2017-05-04,38.2
2017-05-05,38.35
2017-05-08,38.6
2017-05-09,40.05
2017-05-10,40.05
2017-05-11,40.1
2017-05-12,40.2
2017-05-15,41.05
2017-05-16,40.95
2017-05-17,39.4
2017-05-18,39.8
2017-05-19,40.6
2017-05-22,40.85
2017-05-23,40.25
2017-05-24,40.65
2017-05-25,40.5
2017-05-26,40.35
2017-05-30,40.45
2017-05-31,39.9
2017-06-01,40.55
2017-06-02,41.1
2017-06-05,40.5
2017-06-06,40.15
2017-06-07,40.35
2017-06-08,40.1
2017-06-09,40.15
2017-06-12,40.35
2017-06-13,40.95
2017-06-14,41.25
2017-06-15,40.5
2017-06-16,40.25
2017-06-19,40.7
2017-06-20,40.75
2017-06-21,40.8
2017-06-22,40.4
2017-06-23,40.65
2017-06-26,40.9
