Date,Adj_Close
2016-01-04,0.2834
2016-01-04,21.88
2016-01-05,22.28
2016-01-05,0.2819
2016-01-06,0.2599
2016-01-06,22.07
2016-01-07,22.17
2016-01-07,0.2332
2016-01-08,0.195
2016-01-08,22.91
2016-01-11,23.29
2016-01-11,0.2065
2016-01-12,0.2
2016-01-12,23.75
2016-01-13,23.57
2016-01-13,0.1551
2016-01-14,23.04
2016-01-15,21.85
2016-01-19,21.57
2016-01-20,21.31
2016-01-21,21.09
2016-01-22,21.66
2016-01-25,21.45
2016-01-26,21.65
2016-01-27,21.59
2016-01-28,21.73
2016-01-29,22.18
2016-02-01,22.69
2016-02-02,22.12
2016-02-03,22.06
2016-02-04,22.3
2016-02-05,22.25
2016-02-08,22.69
2016-02-09,22.1
2016-02-10,22.44
2016-02-11,21.0
2016-02-12,22.03
2016-02-16,22.91
2016-02-17,23.38
2016-02-18,22.99
2016-02-19,22.72
2016-02-22,22.97
2016-02-23,23.35
2016-02-24,23.09
2016-02-25,23.71
2016-02-26,23.71
2016-02-29,24.45
2016-03-01,23.9
2016-03-02,24.32
2016-03-03,24.78
2016-03-04,24.68
2016-03-07,24.7
2016-03-08,24.775
2016-03-09,24.63
2016-03-10,24.03
2016-03-11,24.55
2016-03-14,24.16
2016-03-15,23.71
2016-03-16,23.82
2016-03-17,25.06
2016-03-18,25.15
2016-03-21,24.75
2016-03-22,24.3
2016-03-23,24.27
2016-03-24,24.09
2016-03-28,24.38
2016-03-29,24.97
2016-03-30,25.36
2016-03-31,25.4
2016-04-01,26.12
2016-04-04,25.87
2016-04-05,25.63
2016-04-06,25.99
2016-04-07,25.89
2016-04-08,25.53
2016-04-11,25.35
2016-04-12,25.65
2016-04-13,25.77
2016-04-14,25.05
2016-04-15,25.09
2016-04-18,24.88
2016-04-19,24.36
2016-04-20,23.84
2016-04-21,23.63
2016-04-22,23.95
2016-04-25,23.68
2016-04-26,23.6
2016-04-27,23.48
2016-04-28,26.4
2016-04-29,26.91
2016-05-02,27.5
2016-05-03,27.13
2016-05-04,27.13
2016-05-05,26.3
2016-05-06,24.76
2016-05-09,25.51
2016-05-10,25.97
2016-05-11,25.98
2016-05-12,25.95
2016-05-13,25.73
2016-05-16,25.98
2016-05-17,25.28
2016-05-18,24.93
2016-05-19,25.08
2016-05-20,24.97
2016-05-23,24.96
2016-05-24,25.01
2016-05-25,24.5
2016-05-26,25.12
2016-05-27,24.84
2016-05-31,24.87
2016-06-01,24.89
2016-06-02,24.94
2016-06-03,25.0
2016-06-06,24.55
2016-06-07,24.44
2016-06-08,24.35
2016-06-09,24.99
2016-06-10,24.94
2016-06-13,24.35
2016-06-14,24.37
2016-06-15,24.42
2016-06-16,24.91
2016-06-17,24.63
2016-06-20,24.84
2016-06-21,24.99
2016-06-22,25.11
2016-06-23,25.39
2016-06-24,25.1
2016-06-27,24.32
2016-06-28,24.22
2016-06-29,23.92
2016-06-30,25.48
2016-07-01,24.94
2016-07-05,24.48
2016-07-06,25.33
2016-07-07,25.82
2016-07-08,25.79
2016-07-11,25.48
2016-07-12,25.4
2016-07-13,25.15
2016-07-14,25.31
2016-07-15,25.17
2016-07-18,24.93
2016-07-19,25.09
2016-07-20,25.11
2016-07-21,25.18
2016-07-22,25.19
2016-07-25,25.49
2016-07-26,25.18
2016-07-27,24.32
2016-07-28,23.74
2016-07-29,23.25
2016-08-01,23.24
2016-08-02,22.87
2016-08-03,23.15
2016-08-04,23.3
2016-08-05,23.0
2016-08-08,23.11
2016-08-09,23.17
2016-08-10,22.92
