Date,Adj_Close
2016-01-04,37.18
2016-01-05,36.49
2016-01-06,37.02
2016-01-07,38.74
2016-01-08,37.59
2016-01-11,33.44
2016-01-12,31.02
2016-01-13,30.76
2016-01-14,29.2
2016-01-15,28.38
2016-01-19,27.08
2016-01-20,25.33
2016-01-21,25.79
2016-01-22,26.44
2016-01-25,27.28
2016-01-26,28.86
2016-01-27,30.1
2016-01-28,28.76
2016-01-29,29.79
2016-02-01,30.88
2016-02-02,29.81
2016-02-03,31.85
2016-02-04,35.94
2016-02-05,39.22
2016-02-08,40.96
2016-02-09,38.11
2016-02-10,39.01
2016-02-11,40.45
2016-02-12,41.74
2016-02-16,39.82
2016-02-17,41.53
2016-02-18,44.31
2016-02-19,43.35
2016-02-22,44.41
2016-02-23,44.29
2016-02-24,44.82
2016-02-25,44.49
2016-02-26,44.82
2016-02-29,46.37
2016-03-01,44.99
2016-03-02,46.87
2016-03-03,49.48
2016-03-04,48.5
2016-03-07,50.22
2016-03-08,48.02
2016-03-09,48.07
2016-03-10,49.88
2016-03-11,49.67
2016-03-14,47.11
2016-03-15,47.59
2016-03-16,50.56
2016-03-17,50.97
2016-03-18,51.69
2016-03-21,52.27
2016-03-22,51.67
2016-03-23,49.18
2016-03-24,50.19
2016-03-28,49.5
2016-03-29,52.03
2016-03-30,51.98
2016-03-31,51.29
2016-04-01,51.57
2016-04-04,49.97
2016-04-05,51.56
2016-04-06,50.25
2016-04-07,51.61
2016-04-08,52.75
2016-04-11,55.64
2016-04-12,55.93
2016-04-13,55.17
2016-04-14,53.27
2016-04-15,54.35
2016-04-18,54.99
2016-04-19,57.5
2016-04-20,56.81
2016-04-21,57.59
2016-04-22,56.24
2016-04-25,56.04
2016-04-26,57.4
2016-04-27,58.23
2016-04-28,60.22
2016-04-29,62.62
2016-05-02,61.58
2016-05-03,60.37
2016-05-04,58.72
2016-05-05,59.56
2016-05-06,59.81
2016-05-09,56.14
2016-05-10,57.7
2016-05-11,58.59
2016-05-12,57.57
2016-05-13,57.73
2016-05-16,58.79
2016-05-17,57.46
2016-05-18,54.17
2016-05-19,55.22
2016-05-20,55.45
2016-05-23,55.85
2016-05-24,54.03
2016-05-25,56.06
2016-05-26,55.85
2016-05-27,55.02
2016-05-31,56.13
2016-06-01,56.27
2016-06-02,56.29
2016-06-03,61.55
2016-06-06,62.64
2016-06-07,62.78
2016-06-08,65.34
2016-06-09,66.52
2016-06-10,65.56
2016-06-13,65.9
2016-06-14,65.05
2016-06-15,67.82
2016-06-16,65.8
2016-06-17,66.49
2016-06-20,67.51
2016-06-21,66.53
2016-06-22,66.5
2016-06-23,66.85
2016-06-24,69.17
2016-06-27,69.15
2016-06-28,68.89
2016-06-29,70.64
2016-06-30,72.02
2016-07-01,74.47
2016-07-05,74.8
2016-07-06,78.25
2016-07-07,79.36
2016-07-08,82.04
2016-07-11,83.22
2016-07-12,80.36
2016-07-13,81.72
2016-07-14,81.59
2016-07-15,80.54
2016-07-18,81.48
2016-07-19,80.48
2016-07-20,77.22
2016-07-21,78.88
2016-07-22,79.32
2016-07-25,77.58
2016-07-26,80.28
2016-07-27,82.14
2016-07-28,82.14
2016-07-29,84.54
2016-08-01,85.92
2016-08-02,85.24
2016-08-03,85.44
2016-08-04,85.05
2016-08-05,83.44
2016-08-08,84.36
2016-08-09,84.96
2016-08-10,86.02
2016-08-11,84.57
2016-08-12,83.26
2016-08-15,83.41
2016-08-16,83.29
2016-08-17,83.13
2016-08-18,84.36
2016-08-19,83.25
2016-08-22,83.11
2016-08-23,82.73
2016-08-24,75.76
2016-08-25,75.73
2016-08-26,75.9
2016-08-29,76.96
2016-08-30,73.62
2016-08-31,73.32
2016-09-01,75.78
2016-09-02,77.94
2016-09-06,82.49
2016-09-07,82.18
2016-09-08,80.25
2016-09-09,76.06
2016-09-12,78.77
2016-09-13,75.95
2016-09-14,75.86
2016-09-15,76.13
2016-09-16,75.56
2016-09-19,77.01
2016-09-20,77.68
2016-09-21,85.19
2016-09-22,84.09
2016-09-23,81.42
2016-09-26,80.07
2016-09-27,78.1
2016-09-28,79.65
2016-09-29,78.82
2016-09-30,77.43
2016-10-03,75.49
2016-10-04,68.64
2016-10-05,68.87
2016-10-06,65.59
2016-10-07,66.12
2016-10-10,66.63
2016-10-11,65.09
2016-10-12,66.27
2016-10-13,66.99
2016-10-14,65.96
2016-10-17,66.9
2016-10-18,68.87
2016-10-19,69.79
2016-10-20,69.97
2016-10-21,68.35
2016-10-24,67.2
2016-10-25,69.26
2016-10-26,68.14
2016-10-27,66.58
2016-10-28,66.06
2016-10-31,68.82
2016-11-01,69.67
2016-11-02,69.09
2016-11-03,74.4
2016-11-04,75.82
2016-11-07,75.46
2016-11-08,74.92
2016-11-09,76.47
2016-11-10,72.12
2016-11-11,65.48
2016-11-14,66.38
2016-11-15,69.26
2016-11-16,69.48
2016-11-17,68.16
2016-11-18,68.11
2016-11-21,69.7
2016-11-22,70.5
2016-11-23,67.72
2016-11-25,67.94
2016-11-28,70.91
2016-11-29,71.61
2016-11-30,69.64
2016-12-01,68.53
2016-12-02,70.72
2016-12-05,70.96
2016-12-06,69.73
2016-12-07,69.39
2016-12-08,69.18
2016-12-09,67.02
2016-12-12,67.47
2016-12-13,69.29
2016-12-14,66.49
2016-12-15,62.47
2016-12-16,61.39
2016-12-19,62.0
2016-12-20,61.93
2016-12-21,62.59
2016-12-22,61.88
2016-12-23,62.29
2016-12-27,63.45
2016-12-28,63.85
2016-12-29,66.7
2016-12-30,63.35
2017-01-03,64.63
2017-01-04,64.96
2017-01-05,67.15
2017-01-06,65.51
2017-01-09,65.85
2017-01-10,66.99
2017-01-11,66.67
2017-01-12,66.57
2017-01-13,67.18
2017-01-17,68.38
2017-01-18,68.12
2017-01-19,68.17
2017-01-20,68.78
2017-01-23,70.31
2017-01-24,71.69
2017-01-25,71.62
2017-01-26,69.58
2017-01-27,70.48
2017-01-30,69.7
2017-01-31,72.17
2017-02-01,71.44
2017-02-02,70.83
2017-02-03,69.94
2017-02-06,71.6
2017-02-07,70.92
2017-02-08,71.36
2017-02-09,70.04
2017-02-10,71.53
2017-02-13,71.45
2017-02-14,71.28
2017-02-15,71.15
2017-02-16,71.29
2017-02-17,69.95
2017-02-21,71.01
2017-02-22,68.83
2017-02-23,68.82
2017-02-24,68.33
2017-02-27,66.26
2017-02-28,66.05
2017-03-01,66.89
2017-03-02,64.58
2017-03-03,65.43
2017-03-06,63.39
2017-03-07,62.2
2017-03-08,62.18
2017-03-09,61.45
2017-03-10,62.95
2017-03-13,63.03
2017-03-14,61.78
2017-03-15,65.05
