Date,Adj_Close
2016-01-04,40.61
2016-01-05,40.64
2016-01-06,40.19
2016-01-07,39.79
2016-01-08,39.8
2016-01-11,40.12
2016-01-12,40.7
2016-01-13,40.04
2016-01-14,40.13
2016-01-15,39.86
2016-01-19,39.96
2016-01-20,39.66
2016-01-21,39.4
2016-01-22,39.59
2016-01-25,39.1
2016-01-26,39.25
2016-01-27,39.31
2016-01-28,39.5
2016-01-29,39.81
2016-02-01,43.15
2016-02-02,42.79
2016-02-03,43.23
2016-02-04,43.44
2016-02-05,43.07
2016-02-08,43.12
2016-02-09,42.61
2016-02-10,42.71
2016-02-11,42.61
2016-02-12,43.21
2016-02-16,43.76
2016-02-17,44.38
2016-02-18,44.52
2016-02-19,44.99
2016-02-22,42.79
2016-02-23,42.9
2016-02-24,43.1
2016-02-25,43.56
2016-02-26,43.26
2016-02-29,44.13
2016-03-01,44.57
2016-03-02,45.03
2016-03-03,45.0
2016-03-04,45.02
2016-03-07,45.09
2016-03-08,44.87
2016-03-09,45.04
2016-03-10,45.1
2016-03-11,45.84
2016-03-14,45.8
2016-03-15,45.87
2016-03-16,46.04
2016-03-17,46.11
2016-03-18,46.63
2016-03-21,46.35
2016-03-22,46.34
2016-03-23,46.35
2016-03-24,46.24
2016-03-28,46.24
2016-03-29,46.46
2016-03-30,46.63
2016-03-31,46.73
2016-04-01,47.08
2016-04-04,46.99
2016-04-05,46.7
2016-04-06,46.98
2016-04-07,46.76
2016-04-08,46.94
2016-04-11,46.71
2016-04-12,46.95
2016-04-13,47.1
2016-04-14,46.61
2016-04-15,46.82
2016-04-18,46.88
2016-04-19,46.98
2016-04-20,46.75
2016-04-21,45.58
2016-04-22,45.77
2016-04-25,46.3
2016-04-26,46.3
2016-04-27,46.41
2016-04-28,46.26
2016-04-29,46.07
2016-05-02,48.61
2016-05-03,48.51
2016-05-04,48.52
2016-05-05,48.87
2016-05-06,49.37
2016-05-09,49.72
2016-05-10,50.17
2016-05-11,50.22
2016-05-12,50.18
2016-05-13,50.15
2016-05-16,50.21
2016-05-17,49.3
2016-05-18,48.7
2016-05-19,49.07
2016-05-20,48.55
2016-05-23,48.39
2016-05-24,48.71
2016-05-25,48.59
2016-05-26,48.84
2016-05-27,48.66
2016-05-31,48.11
2016-06-01,48.81
2016-06-02,48.76
2016-06-03,48.9
2016-06-06,48.78
2016-06-07,48.68
2016-06-08,48.68
2016-06-09,49.0
2016-06-10,48.78
2016-06-13,48.43
2016-06-14,48.47
2016-06-15,48.66
2016-06-16,49.76
2016-06-17,49.8
2016-06-20,49.95
2016-06-21,50.07
2016-06-22,49.97
2016-06-23,50.29
2016-06-24,49.92
2016-06-27,49.71
2016-06-28,49.51
2016-06-29,50.22
2016-06-30,50.74
2016-07-01,50.73
2016-07-05,51.2
2016-07-06,51.27
2016-07-07,51.19
2016-07-08,51.59
2016-07-11,51.64
2016-07-12,51.08
2016-07-13,52.03
2016-07-14,51.97
2016-07-15,52.02
2016-07-18,51.96
2016-07-19,52.15
2016-07-20,51.81
2016-07-21,51.74
2016-07-22,52.09
2016-07-25,52.13
2016-07-26,51.96
2016-07-27,51.58
2016-07-28,51.83
2016-07-29,51.79
2016-08-01,51.92
2016-08-02,51.94
2016-08-03,51.33
2016-08-04,51.5
2016-08-05,51.25
2016-08-08,51.21
2016-08-09,51.82
2016-08-10,51.82
2016-08-11,51.76
2016-08-12,52.21
2016-08-15,52.18
2016-08-16,52.09
2016-08-17,52.24
2016-08-18,52.46
2016-08-19,52.48
2016-08-22,52.92
2016-08-23,52.77
2016-08-24,52.42
2016-08-25,52.46
2016-08-26,52.12
2016-08-29,52.42
2016-08-30,51.93
2016-08-31,51.86
2016-09-01,52.06
2016-09-02,53.24
2016-09-06,53.46
2016-09-07,53.09
2016-09-08,52.61
2016-09-09,49.8
2016-09-12,50.36
2016-09-13,49.53
2016-09-14,49.62
2016-09-15,49.58
2016-09-16,49.38
2016-09-19,49.25
2016-09-20,49.11
2016-09-21,49.69
2016-09-22,50.02
2016-09-23,49.55
2016-09-26,48.88
2016-09-27,49.24
2016-09-28,49.44
2016-09-29,49.03
2016-09-30,49.01
2016-10-03,48.92
2016-10-04,48.11
2016-10-05,47.77
2016-10-06,48.28
2016-10-07,48.07
2016-10-10,48.21
2016-10-11,48.01
2016-10-12,48.61
2016-10-13,48.86
2016-10-14,48.32
2016-10-17,48.26
2016-10-18,48.27
2016-10-19,47.93
2016-10-20,47.59
2016-10-21,47.49
2016-10-24,47.74
2016-10-25,47.44
2016-10-26,47.26
2016-10-27,47.45
2016-10-28,47.99
2016-10-31,48.12
2016-11-01,48.08
2016-11-02,47.77
2016-11-03,47.85
2016-11-04,48.04
2016-11-07,52.76
2016-11-08,54.19
2016-11-09,54.16
2016-11-10,53.22
2016-11-11,53.13
2016-11-14,53.49
2016-11-15,53.5
2016-11-16,53.13
2016-11-17,53.36
2016-11-18,53.14
2016-11-21,53.73
2016-11-22,54.1
2016-11-23,53.56
2016-11-25,53.93
2016-11-28,53.71
2016-11-29,53.89
2016-11-30,53.25
2016-12-01,53.1
2016-12-02,53.59
2016-12-05,53.48
2016-12-06,53.95
2016-12-07,54.53
2016-12-08,54.33
2016-12-09,55.15
2016-12-12,55.02
2016-12-13,55.62
2016-12-14,55.51
2016-12-15,55.95
2016-12-16,56.36
2016-12-19,56.61
2016-12-20,56.47
2016-12-21,56.26
2016-12-22,56.25
2016-12-23,56.23
2016-12-27,56.17
2016-12-28,55.73
2016-12-29,55.92
2016-12-30,55.37
2017-01-03,55.0
2017-01-04,55.17
2017-01-05,54.99
2017-01-06,55.38
2017-01-09,55.68
2017-01-10,55.33
2017-01-11,55.29
2017-01-12,54.9
2017-01-13,54.97
2017-01-17,54.88
2017-01-18,55.25
2017-01-19,53.62
2017-01-20,53.81
2017-01-23,53.52
2017-01-24,53.52
2017-01-25,53.05
2017-01-26,53.03
2017-01-27,52.7
2017-01-30,52.74
2017-01-31,52.46
2017-02-01,52.05
2017-02-02,52.38
2017-02-03,52.54
2017-02-06,51.2
2017-02-07,52.23
2017-02-08,51.83
2017-02-09,52.25
2017-02-10,52.62
2017-02-13,52.81
2017-02-14,52.73
2017-02-15,52.75
2017-02-16,52.63
2017-02-17,52.35
2017-02-21,52.81
2017-02-22,52.75
2017-02-23,52.89
2017-02-24,53.2
2017-02-27,52.85
2017-02-28,52.72
2017-03-01,53.15
2017-03-02,52.78
2017-03-03,52.19
2017-03-06,52.16
2017-03-07,52.3
2017-03-08,52.33
2017-03-09,52.42
2017-03-10,52.16
2017-03-13,51.88
2017-03-14,51.87
2017-03-15,52.58
2017-03-16,52.31
2017-03-17,52.74
2017-03-20,52.12
2017-03-21,51.8
2017-03-22,52.53
2017-03-23,52.65
2017-03-24,52.81
2017-03-27,52.04
2017-03-28,52.2
2017-03-29,51.81
2017-03-30,52.02
2017-03-31,51.92
2017-04-03,51.69
2017-04-04,51.61
