Date,Adj_Close
2016-01-04,15.73
2016-01-05,15.52
2016-01-06,15.07
2016-01-07,14.18
2016-01-08,13.72
2016-01-11,13.9
2016-01-12,13.67
2016-01-13,13.02
2016-01-14,12.95
2016-01-15,12.7
2016-01-19,12.33
2016-01-20,11.58
2016-01-21,11.64
2016-01-22,12.24
2016-01-25,11.44
2016-01-26,11.87
2016-01-27,11.59
2016-01-28,11.55
2016-01-29,12.05
2016-02-01,11.92
2016-02-02,11.75
2016-02-03,11.63
2016-02-04,12.19
2016-02-05,11.51
2016-02-08,11.3
2016-02-09,11.6
2016-02-10,12.11
2016-02-11,11.85
2016-02-12,12.35
2016-02-16,12.92
2016-02-17,13.3
2016-02-18,13.31
2016-02-19,13.25
2016-02-22,13.51
2016-02-23,13.42
2016-02-24,13.7
2016-02-25,13.78
2016-02-26,13.72
2016-02-29,13.91
2016-03-01,14.25
2016-03-02,14.02
2016-03-03,14.39
2016-03-04,13.89
2016-03-07,14.01
2016-03-08,13.8
2016-03-09,13.96
2016-03-10,13.81
2016-03-11,14.05
2016-03-14,14.06
2016-03-15,13.72
2016-03-16,13.95
2016-03-17,14.2
2016-03-18,14.4
2016-03-21,14.25
2016-03-22,14.04
2016-03-23,13.43
2016-03-24,13.38
2016-03-28,13.52
2016-03-29,13.97
2016-03-30,14.2
2016-03-31,14.12
2016-04-01,14.21
2016-04-04,14.05
2016-04-05,14.24
2016-04-06,14.67
2016-04-07,14.88
2016-04-08,14.67
2016-04-11,14.71
2016-04-12,14.6
2016-04-13,15.23
2016-04-14,15.14
2016-04-15,15.14
2016-04-18,15.34
2016-04-19,15.1
2016-04-20,15.16
2016-04-21,15.37
2016-04-22,15.31
2016-04-25,15.04
2016-04-26,15.11
2016-04-27,15.46
2016-04-28,14.59
2016-04-29,14.4
2016-05-02,14.26
2016-05-03,14.12
2016-05-04,13.79
2016-05-05,13.58
2016-05-06,13.75
2016-05-09,14.12
2016-05-10,14.05
2016-05-11,13.8
2016-05-12,13.84
2016-05-13,13.68
2016-05-16,13.82
2016-05-17,13.9
2016-05-18,13.68
2016-05-19,13.54
2016-05-20,13.97
2016-05-23,13.9
2016-05-24,14.76
2016-05-25,14.92
2016-05-26,14.93
2016-05-27,14.97
