Date,Adj_Close
2016-01-04,32.73
2016-01-05,32.95
2016-01-06,32.13
2016-01-07,30.37
2016-01-08,29.79
2016-01-11,29.89
2016-01-12,30.2
2016-01-13,29.9
2016-01-14,29.58
2016-01-15,29.08
2016-01-19,28.57
2016-01-20,27.67
2016-01-21,27.82
2016-01-22,28.21
2016-01-25,26.95
2016-01-26,27.56
2016-01-27,26.79
2016-01-28,26.84
2016-01-29,27.62
2016-02-01,27.03
2016-02-02,26.56
2016-02-03,26.84
2016-02-04,27.39
2016-02-05,26.24
2016-02-08,25.13
2016-02-09,25.05
2016-02-10,25.12
2016-02-11,24.1
2016-02-12,25.04
2016-02-16,25.71
2016-02-17,25.23
2016-02-18,25.03
2016-02-19,25.08
2016-02-22,26.03
2016-02-23,27.02
2016-02-24,26.83
2016-02-25,27.71
2016-02-26,27.57
2016-02-29,27.45
2016-03-01,28.44
2016-03-02,28.71
2016-03-03,28.82
2016-03-04,28.2
2016-03-07,28.52
2016-03-08,27.49
2016-03-09,27.6
2016-03-10,27.43
2016-03-11,28.37
2016-03-14,28.17
2016-03-15,27.59
2016-03-16,28.28
2016-03-17,28.78
2016-03-18,29.59
2016-03-21,29.41
2016-03-22,29.02
2016-03-23,28.53
2016-03-24,28.53
2016-03-28,28.68
2016-03-29,29.61
2016-03-30,29.04
2016-03-31,29.51
2016-04-01,29.53
2016-04-04,28.8
2016-04-05,28.82
2016-04-06,29.33
2016-04-07,28.9
2016-04-08,28.74
2016-04-11,29.02
2016-04-12,29.02
2016-04-13,29.98
2016-04-14,29.9
2016-04-15,29.61
2016-04-18,29.67
2016-04-19,29.38
2016-04-20,29.01
2016-04-21,29.17
2016-04-22,29.05
2016-04-25,28.78
2016-04-26,29.18
2016-04-27,29.18
2016-04-28,27.52
2016-04-29,27.3
2016-05-02,27.57
2016-05-03,26.94
2016-05-04,26.96
2016-05-05,26.62
2016-05-06,26.47
2016-05-09,26.66
2016-05-10,26.86
2016-05-11,26.53
2016-05-12,26.71
2016-05-13,26.56
2016-05-16,26.92
2016-05-17,26.86
2016-05-18,26.77
2016-05-19,26.75
2016-05-20,27.57
2016-05-23,27.1
2016-05-24,29.46
2016-05-25,29.09
2016-05-26,28.9
2016-05-27,29.15
2016-05-31,29.15
2016-06-01,29.16
2016-06-02,29.04
2016-06-03,28.82
2016-06-06,28.87
2016-06-07,29.58
2016-06-08,29.75
2016-06-09,29.43
2016-06-10,28.59
2016-06-13,27.78
2016-06-14,27.34
2016-06-15,27.53
2016-06-16,27.51
2016-06-17,27.82
2016-06-20,27.76
2016-06-21,27.42
2016-06-22,27.17
2016-06-23,27.59
2016-06-24,26.56
2016-06-27,25.46
2016-06-28,26.11
2016-06-29,26.59
2016-06-30,26.91
2016-07-01,27.06
2016-07-05,26.44
2016-07-06,27.08
2016-07-07,27.23
2016-07-08,28.24
2016-07-11,27.94
2016-07-12,27.78
2016-07-13,27.7
2016-07-14,27.46
2016-07-15,27.4
2016-07-18,27.69
2016-07-19,27.69
2016-07-20,27.92
2016-07-21,28.0
2016-07-22,28.28
2016-07-25,28.65
2016-07-26,29.14
2016-07-27,28.67
2016-07-28,28.55
2016-07-29,28.01
2016-08-01,27.9
2016-08-02,27.25
2016-08-03,27.5
2016-08-04,27.43
2016-08-05,27.82
2016-08-08,27.85
2016-08-09,27.89
2016-08-10,27.93
2016-08-11,28.07
2016-08-12,27.97
2016-08-15,28.86
2016-08-16,28.76
2016-08-17,28.48
2016-08-18,28.62
2016-08-19,28.78
2016-08-22,29.33
2016-08-23,31.91
2016-08-24,31.03
2016-08-25,31.24
2016-08-26,30.74
2016-08-29,30.9
2016-08-30,31.25
2016-08-31,31.09
2016-09-01,30.62
2016-09-02,30.72
2016-09-06,30.97
2016-09-07,31.0
2016-09-08,30.56
2016-09-09,29.31
2016-09-12,29.89
2016-09-13,29.13
2016-09-14,28.97
2016-09-15,29.68
2016-09-16,29.37
2016-09-19,29.39
2016-09-20,28.97
2016-09-21,29.05
2016-09-22,29.22
2016-09-23,29.19
2016-09-26,29.27
2016-09-27,29.3
2016-09-28,29.41
2016-09-29,29.56
2016-09-30,29.86
2016-10-03,29.53
2016-10-04,29.38
2016-10-05,29.39
2016-10-06,29.53
2016-10-07,29.25
2016-10-10,29.34
2016-10-11,29.15
2016-10-12,29.02
2016-10-13,28.62
2016-10-14,28.55
2016-10-17,28.41
2016-10-18,28.61
2016-10-19,28.94
2016-10-20,28.71
2016-10-21,28.53
2016-10-24,28.76
2016-10-25,28.22
2016-10-26,28.07
2016-10-27,27.2
2016-10-28,27.41
2016-10-31,27.44
2016-11-01,27.09
2016-11-02,27.06
2016-11-03,27.12
2016-11-04,27.42
2016-11-07,27.81
2016-11-08,27.49
2016-11-09,27.63
2016-11-10,29.41
2016-11-11,28.93
2016-11-14,29.22
2016-11-15,28.93
2016-11-16,28.35
2016-11-17,29.14
2016-11-18,29.14
2016-11-21,29.66
2016-11-22,29.8
2016-11-23,30.05
2016-11-25,30.37
2016-11-28,30.17
2016-11-29,30.61
2016-11-30,29.66
2016-12-01,29.14
2016-12-02,29.32
2016-12-05,30.47
2016-12-06,31.93
2016-12-07,32.61
2016-12-08,32.98
2016-12-09,32.17
2016-12-12,31.88
2016-12-13,32.15
2016-12-14,31.2
2016-12-15,31.02
2016-12-16,31.59
2016-12-19,31.74
2016-12-20,31.61
2016-12-21,31.79
2016-12-22,31.32
2016-12-23,31.33
2016-12-27,31.91
2016-12-28,31.53
2016-12-29,31.38
2016-12-30,31.0
2017-01-03,31.31
2017-01-04,32.0
2017-01-05,31.86
2017-01-06,31.24
2017-01-09,31.12
2017-01-10,31.12
2017-01-11,31.38
2017-01-12,30.92
2017-01-13,31.02
2017-01-17,30.9
2017-01-18,31.07
2017-01-19,30.98
2017-01-20,31.02
2017-01-23,30.91
2017-01-24,32.4
2017-01-25,32.93
2017-01-26,32.71
2017-01-27,31.9
2017-01-30,31.6
2017-01-31,31.36
2017-02-01,31.49
2017-02-02,31.34
2017-02-03,31.67
2017-02-06,31.53
2017-02-07,31.33
2017-02-08,31.2
2017-02-09,31.17
2017-02-10,31.72
2017-02-13,31.81
2017-02-14,31.6
2017-02-15,31.89
2017-02-16,31.43
2017-02-17,31.49
2017-02-21,31.99
2017-02-22,33.93
2017-02-23,33.96
2017-02-24,33.74
2017-02-27,34.4
2017-02-28,34.14
2017-03-01,34.92
2017-03-02,34.99
2017-03-03,35.11
2017-03-06,35.07
2017-03-07,35.47
2017-03-08,35.87
2017-03-09,35.57
2017-03-10,36.29
2017-03-13,35.9
2017-03-14,35.75
2017-03-15,36.15
2017-03-16,37.08
2017-03-17,36.67
2017-03-20,36.4
2017-03-21,35.83
2017-03-22,35.76
2017-03-23,35.84
2017-03-24,35.87
2017-03-27,35.89
2017-03-28,36.42
2017-03-29,36.36
2017-03-30,36.39
2017-03-31,36.11
2017-04-03,35.8
2017-04-04,35.46
2017-04-05,35.23
2017-04-06,35.43
2017-04-07,35.33
2017-04-10,35.42
2017-04-11,36.58
2017-04-12,36.08
2017-04-13,36.22
2017-04-17,36.83
2017-04-18,37.09
2017-04-19,36.96
2017-04-20,36.31
2017-04-21,36.18
2017-04-24,35.93
2017-04-25,35.63
2017-04-26,36.36
2017-04-27,36.51
2017-04-28,35.99
2017-05-01,36.13
2017-05-02,36.05
2017-05-03,36.03
2017-05-04,36.47
2017-05-05,36.61
2017-05-08,36.64
2017-05-09,37.36
2017-05-10,37.26
2017-05-11,37.3
2017-05-12,37.01
2017-05-15,37.44
2017-05-16,37.63
2017-05-17,36.84
2017-05-18,37.47
2017-05-19,37.84
2017-05-22,38.03
2017-05-23,37.78
2017-05-24,37.97
2017-05-25,37.68
2017-05-26,37.39
2017-05-30,37.04
2017-05-31,36.91
2017-06-01,37.75
2017-06-02,38.29
2017-06-05,37.53
2017-06-06,37.74
2017-06-07,38.03
2017-06-08,37.86
2017-06-09,37.84
2017-06-12,37.98
2017-06-13,38.57
2017-06-14,39.12
2017-06-15,38.56
2017-06-16,38.54
2017-06-19,38.75
2017-06-20,39.02
2017-06-21,39.04
2017-06-22,38.89
2017-06-23,39.07
2017-06-26,39.3
2017-06-27,39.02
2017-06-28,39.6
2017-06-29,38.91
2017-06-30,39.51
2017-07-03,39.33
2017-07-05,39.61
2017-07-06,39.2
2017-07-07,40.41
2017-07-10,40.95
2017-07-11,40.19
2017-07-12,39.71
2017-07-13,40.11
2017-07-14,40.17
2017-07-17,39.87
2017-07-18,39.16
2017-07-19,39.49
2017-07-20,39.25
2017-07-21,39.3
2017-07-24,39.21
2017-07-25,39.79
2017-07-26,39.29
2017-07-27,39.32
2017-07-28,38.84
2017-07-31,38.59
2017-08-01,39.44
2017-08-02,39.43
2017-08-03,39.44
2017-08-04,39.73
2017-08-07,39.73
2017-08-08,39.84
2017-08-09,39.66
2017-08-10,38.42
2017-08-11,38.73
2017-08-14,39.08
2017-08-15,39.21
2017-08-16,39.7
2017-08-17,38.63
2017-08-18,38.15
2017-08-21,38.26
2017-08-22,37.27
2017-08-23,37.51
2017-08-24,37.0
2017-08-25,37.78
2017-08-28,37.88
2017-08-29,37.85
2017-08-30,38.22
2017-08-31,38.96
2017-09-01,39.0
2017-09-05,38.54
2017-09-06,38.9
2017-09-07,38.93
2017-09-08,39.46
2017-09-11,39.67
2017-09-12,40.2
2017-09-13,39.87
2017-09-14,39.21
2017-09-15,39.41
2017-09-18,39.95
2017-09-19,40.2
2017-09-20,39.74
2017-09-21,39.84
2017-09-22,39.75
2017-09-25,40.21
2017-09-26,40.21
2017-09-27,40.24
2017-09-28,40.98
2017-09-29,41.47
2017-10-02,41.57
2017-10-03,41.93
2017-10-04,42.5
2017-10-05,42.33
2017-10-06,42.71
2017-10-09,42.81
2017-10-10,42.95
2017-10-11,43.18
2017-10-12,42.66
2017-10-13,42.48
2017-10-16,42.76
2017-10-17,43.04
2017-10-18,43.11
2017-10-19,43.96
2017-10-20,44.21
2017-10-23,44.36
2017-10-24,44.61
2017-10-25,44.73
2017-10-26,45.32
2017-10-27,45.54
2017-10-30,45.51
2017-10-31,46.04
2017-11-01,46.63
2017-11-02,43.79
2017-11-03,43.9
2017-11-06,44.84
2017-11-07,45.35
2017-11-08,46.03
2017-11-09,45.8
2017-11-10,45.91
2017-11-13,46.05
2017-11-14,47.05
2017-11-15,46.94
2017-11-16,46.73
2017-11-17,47.0
2017-11-20,46.99
2017-11-21,47.95
2017-11-22,48.07
2017-11-24,48.4
2017-11-27,48.18
2017-11-28,49.47
2017-11-29,50.09
2017-11-30,50.33
2017-12-01,49.67
2017-12-04,50.66
2017-12-05,46.93
2017-12-06,46.68
2017-12-07,47.0
2017-12-08,47.87
2017-12-11,47.74
2017-12-12,47.09
2017-12-13,47.06
2017-12-14,47.08
2017-12-15,47.7
2017-12-18,47.84
2017-12-19,47.44
2017-12-20,47.39
2017-12-21,47.47
2017-12-22,47.29
2017-12-26,47.62
2017-12-27,48.03
2017-12-28,48.5
2017-12-29,48.02
2018-01-02,48.32
2018-01-03,50.42
2018-01-04,50.13
2018-01-05,51.21
2018-01-08,51.9
2018-01-09,52.1
2018-01-10,50.57
2018-01-11,51.81
2018-01-12,51.58
2018-01-16,50.83
2018-01-17,52.07
2018-01-18,51.57
2018-01-19,51.88
2018-01-22,52.54
2018-01-23,52.23
2018-01-24,51.43
2018-01-25,49.71
2018-01-26,49.31
2018-01-29,47.49
2018-01-30,47.02
2018-01-31,46.58
2018-02-01,47.35
2018-02-02,46.4
2018-02-05,44.82
